"fylkesnr","skole","linje","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Edvard Munch videregående skole","Alle utdanningsprogram","541","164","377","798","221","577","977","282","695","1017","265","752","1055","280","775","1123","281","842","1204","274","930","1237","271","966","1256","271","985","1264","307","957","1265","302","963"
3,"Edvard Munch videregående skole","Studieforberedende","457","145","312","685","198","487","862","255","607","900","238","662","928","248","680","933","234","699","930","236","694","939","226","713","942","223","719","936","245","691","939","255","684"
3,"Edvard Munch videregående skole","Kunst, design og arkitektur",NA,NA,NA,"94","27","67","153","40","113","215","52","163","218","45","173","218","41","177","223","43","180","225","40","185","226","43","183","224","40","184","222","39","183"
3,"Edvard Munch videregående skole","Musikk, dans og drama","252","87","165","282","96","186","282","102","180","287","105","182","310","121","189","315","117","198","308","120","188","300","100","200","291","90","201","282","88","194","285","90","195"
3,"Edvard Munch videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,"16","5","11","16",NA,"16","11",NA,"11","15",NA,"15","15","2","13","37","12","25","49","10","39","56","9","47","55","16","39"
3,"Edvard Munch videregående skole","Studiespesialisering","94","29","65","222","51","171","354","93","261","382","81","301","389","82","307","385","76","309","384","71","313","377","74","303","376","80","296","374","108","266","377","110","267"
3,"Edvard Munch videregående skole","Studiespesialisering med formgivning","111","29","82","87","24","63","57","15","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Edvard Munch videregående skole","Yrkesfaglig","84","19","65","113","23","90","115","27","88","117","27","90","127","32","95","190","47","143","274","38","236","298","45","253","314","48","266","328","62","266","326","47","279"
3,"Edvard Munch videregående skole","Design og håndverk","84","19","65","113","23","90","115","27","88","117","27","90","127","32","95","90","26","64","17","3","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Edvard Munch videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47","5","42","154","10","144","174","16","158","178","11","167","180","20","160","178","11","167"
3,"Edvard Munch videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53","16","37","103","25","78","124","29","95","136","37","99","148","42","106","148","36","112"
