"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Elvebakken videregående skole","Alle utdanningsprogram","1247","521","726","1213","515","698","1212","545","667","1244","606","638","1346","667","679","1430","684","746","1451","688","763","1437","659","778","1430","632","798","1356","625","731","1382","619","763","1416","646","770","1419","667","752","1432","701","731"
3,"Elvebakken videregående skole","Studieforberedende","836","302","534","791","286","505","796","296","500","844","339","505","1004","438","566","1152","500","652","1166","489","677","1148","461","687","1126","420","706","1087","390","697","1099","366","733","1143","409","734","1135","414","721","1153","447","706"
3,"Elvebakken videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","20","46","125","39","86","178","60","118","189","61","128","186","51","135","181","34","147","176","27","149","189","25","164","184","33","151","187","39","148"
3,"Elvebakken videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96","42","54","192","84","108","284","130","154","291","141","150","285","132","153","283","120","163","281","101","180","283","103","180","279","91","188","280","89","191"
3,"Elvebakken videregående skole","Påbygging til generell studiekompetanse","16","16",NA,"10","8","2","25","11","14","32","21","11","31","17","14","29","20","9","31","20","11","30","13","17","44","25","19","46","28","18","61","46","15","78","61","17","81","56","25","78","55","23"
3,"Elvebakken videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","98","36","62","93","36","57","96","37","59","93","40","53","94","57","37","95","58","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Elvebakken videregående skole","Studiespesialisering","631","232","399","606","224","382","589","227","362","600","240","360","634","273","361","656","276","380","673","279","394","638","246","392","611","212","399","577","208","369","581","192","389","593","220","373","591","234","357","608","264","344"
3,"Elvebakken videregående skole","Studiespesialisering med formgivning","91","18","73","82","18","64","86","21","65","119","38","81","83","29","54","55","23","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Elvebakken videregående skole","Yrkesfaglig","411","219","192","422","229","193","416","249","167","400","267","133","342","229","113","278","184","94","285","199","86","289","198","91","304","212","92","269","235","34","283","253","30","273","237","36","284","253","31","279","254","25"
3,"Elvebakken videregående skole","Design og håndverk","87","12","75","94","16","78","79","16","63","65","14","51","105","37","68","140","55","85","141","62","79","144","62","82","66","32","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Elvebakken videregående skole","Elektro og datateknologi","137","132","5","140","138","2","144","141","3","143","136","7","143","134","9","138","129","9","144","137","7","145","136","9","141","132","9","142","131","11","142","134","8","130","120","10","144","137","7","142","137","5"
3,"Elvebakken videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39","4","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Elvebakken videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","44","14","127","104","23","141","119","22","143","117","26","140","116","24","137","117","20"
3,"Elvebakken videregående skole","Medier og kommunikasjon (gammel ordning)","187","75","112","188","75","113","193","92","101","192","117","75","94","58","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
