"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Etterstad videregående skole","Alle utdanningsprogram","554","422","132","515","390","125","499","384","115","566","440","126","558","446","112","518","405","113","519","406","113","534","415","119","550","404","146","536","407","129","506","385","121","523","406","117","643","470","173","662","489","173"
3,"Etterstad videregående skole","Studieforberedende","30","13","17","24","13","11","32","15","17","72","42","30","56","35","21","63","37","26","57","43","14","57","40","17","81","49","32","81","47","34","89","56","33","74","49","25","116","69","47","88","64","24"
3,"Etterstad videregående skole","Påbygging til generell studiekompetanse","30","13","17","24","13","11","32","15","17","72","42","30","56","35","21","63","37","26","57","43","14","57","40","17","81","49","32","81","47","34","89","56","33","74","49","25","116","69","47","88","64","24"
3,"Etterstad videregående skole","Yrkesfaglig","524","409","115","491","377","114","467","369","98","494","398","96","502","411","91","455","368","87","462","363","99","477","375","102","469","355","114","455","360","95","417","329","88","449","357","92","527","401","126","574","425","149"
3,"Etterstad videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1","1",NA
3,"Etterstad videregående skole","Elektro og datateknologi","134","129","5","134","128","6","115","113","2","117","114","3","135","132","3","117","112","5","113","108","5","98","93","5","91","89","2","90","89","1","87","86","1","97","94","3","101","98","3","95","92","3"
3,"Etterstad videregående skole","Restaurant- og matfag","132","82","50","101","60","41","100","57","43","108","66","42","125","77","48","118","73","45","119","64","55","120","62","58","117","54","63","113","60","53","108","63","45","107","66","41","117","72","45","106","61","45"
3,"Etterstad videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100","65","35","116","81","35","89","54","35","124","83","41","180","108","72","207","114","93"
3,"Etterstad videregående skole","Service og samferdsel","124","73","51","130","73","57","134","85","49","155","108","47","144","109","35","121","89","32","138","102","36","134","99","35","47","36","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Etterstad videregående skole","Teknologi- og industrifag","134","125","9","126","116","10","118","114","4","114","110","4","98","93","5","99","94","5","92","89","3","125","121","4","114","111","3","136","130","6","133","126","7","121","114","7","128","122","6","165","157","8"
