"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Hellerud videregående skole","Alle utdanningsprogram","615","329","286","622","364","258","609","355","254","569","331","238","586","339","247","567","327","240","624","356","268","632","349","283","640","342","298","669","357","312","695","360","335","688","367","321","720","379","341","722","380","342"
3,"Hellerud videregående skole","Studieforberedende","434","204","230","473","259","214","484","258","226","450","239","211","504","266","238","500","260","240","529","266","263","522","246","276","535","241","294","564","253","311","582","248","334","569","254","315","608","273","335","619","280","339"
3,"Hellerud videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37","22","15","58","37","21","61","42","19","33","25","8","27","18","9","7","6","1","9","2","7","12","4","8","14","8","6","16","5","11"
3,"Hellerud videregående skole","Påbygging til generell studiekompetanse","80","37","43","78","39","39","78","29","49","84","50","34","86","35","51","80","41","39","89","46","43","87","35","52","96","41","55","109","56","53","113","40","73","113","60","53","113","54","59","107","68","39"
3,"Hellerud videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","39","16","23","36","23","13","52","25","27","18","9","9","27","16","11","15","8","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Hellerud videregående skole","Studiespesialisering","315","151","164","359","197","162","354","204","150","348","180","168","354","193","161","347","174","173","379","178","201","402","186","216","412","182","230","448","191","257","460","206","254","444","190","254","481","211","270","496","207","289"
3,"Hellerud videregående skole","Yrkesfaglig","181","125","56","149","105","44","125","97","28","119","92","27","82","73","9","67","67",NA,"95","90","5","110","103","7","105","101","4","105","104","1","113","112","1","119","113","6","112","106","6","103","100","3"
3,"Hellerud videregående skole","Bygg- og anleggsteknikk","61","60","1","58","58",NA,"51","49","2","46","44","2","63","63",NA,"67","67",NA,"83","82","1","90","90",NA,"97","96","1","105","104","1","113","112","1","119","113","6","112","106","6","103","100","3"
3,"Hellerud videregående skole","Design og håndverk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","8","4","20","13","7","8","5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Hellerud videregående skole","Medier og kommunikasjon (gammel ordning)","120","65","55","91","47","44","74","48","26","73","48","25","19","10","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
