"fylkesnr","skole","linje","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Kuben videregående skole","Alle utdanningsprogram","989","610","379","1052","659","393","1088","668","420","1181","714","467","1208","758","450","1237","804","433","1242","805","437","1288","878","410","1304","853","451","1307","844","463","1406","920","486","1472","950","522","1561","1023","538"
3,"Kuben videregående skole","Studieforberedende","193","93","100","307","142","165","397","186","211","462","209","253","471","229","242","490","273","217","481","268","213","510","281","229","501","249","252","511","228","283","590","267","323","606","276","330","620","308","312"
3,"Kuben videregående skole","Påbygging til generell studiekompetanse","60","16","44","61","38","23","28","18","10","28","10","18","31","16","15","32","10","22","34","13","21","48","34","14","48","28","20","65","46","19","72","54","18","59","38","21","62","48","14"
3,"Kuben videregående skole","Studiespesialisering","133","77","56","246","104","142","369","168","201","434","199","235","440","213","227","458","263","195","447","255","192","462","247","215","453","221","232","446","182","264","518","213","305","547","238","309","558","260","298"
3,"Kuben videregående skole","Yrkesfaglig","796","517","279","745","517","228","691","482","209","719","505","214","737","529","208","747","531","216","761","537","224","778","597","181","803","604","199","796","616","180","816","653","163","866","674","192","941","715","226"
3,"Kuben videregående skole","Bygg- og anleggsteknikk","124","124",NA,"117","113","4","108","103","5","96","91","5","108","104","4","119","110","9","117","108","9","113","104","9","127","113","14","121","106","15","119","108","11","131","117","14","136","126","10"
3,"Kuben videregående skole","Design og håndverk","93","8","85","102","13","89","60","5","55","48","5","43","62","9","53","42","9","33","64","19","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Kuben videregående skole","Elektro og datateknologi","201","197","4","236","229","7","226","219","7","243","237","6","244","239","5","237","233","4","253","245","8","236","227","9","232","223","9","235","219","16","243","233","10","216","209","7","232","226","6"
3,"Kuben videregående skole","Helse- og oppvekstfag","212","31","181","146","26","120","160","23","137","186","32","154","183","41","142","195","33","162","195","39","156","196","43","153","204","41","163","180","52","128","171","52","119","199","52","147","233","49","184"
3,"Kuben videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94","89","5","142","133","9","156","141","15","183","166","17","201","182","19","212","194","18"
3,"Kuben videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","8","1","11","10","1","26","24","2","37","34","3"
3,"Kuben videregående skole","Service og samferdsel","76","69","7","56","50","6","62","59","3","67","64","3","63","60","3","62","57","5","45","40","5","48","45","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Kuben videregående skole","Teknologi- og industrifag","90","88","2","88","86","2","75","73","2","79","76","3","77","76","1","92","89","3","87","86","1","91","89","2","98","94","4","95","90","5","89","84","5","93","90","3","91","86","5"
