"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Nydalen videregående skole","Alle utdanningsprogram","894","379","515","928","420","508","927","389","538","939","406","533","957","403","554","937","393","544","943","394","549","952","392","560","943","426","517","953","436","517","956","419","537","971","425","546","980","428","552","951","401","550"
3,"Nydalen videregående skole","Studieforberedende","590","298","292","621","319","302","625","296","329","635","307","328","641","301","340","623","298","325","628","303","325","623","278","345","617","304","313","631","312","319","633","311","322","644","319","325","648","296","352","633","288","345"
3,"Nydalen videregående skole","Studiespesialisering","590","298","292","621","319","302","625","296","329","635","307","328","641","301","340","623","298","325","628","303","325","623","278","345","617","304","313","631","312","319","633","311","322","644","319","325","648","296","352","633","288","345"
3,"Nydalen videregående skole","Yrkesfaglig","304","81","223","307","101","206","302","93","209","304","99","205","316","102","214","314","95","219","315","91","224","329","114","215","326","122","204","322","124","198","323","108","215","327","106","221","332","132","200","318","113","205"
3,"Nydalen videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Nydalen videregående skole","Design og håndverk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Nydalen videregående skole","Elektro og datateknologi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Nydalen videregående skole","Helse- og oppvekstfag","188","20","168","188","28","160","185","23","162","188","30","158","195","27","168","192","24","168","199","24","175","196","26","170","195","40","155","190","35","155","192","37","155","195","39","156","194","39","155","189","26","163"
3,"Nydalen videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","57","22","132","89","43","130","70","60","132","67","65","138","93","45","129","87","42"
3,"Nydalen videregående skole","Service og samferdsel","116","61","55","119","73","46","117","70","47","116","69","47","121","75","46","119","68","51","116","67","49","133","88","45","50","24","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
