"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Oslo By steinerskole","Alle utdanningsprogram","472","171","301","462","172","290","442","173","269","439","164","275","465","179","286","472","182","290","475","167","308","467","155","312","481","151","330","492","156","336","485","151","334","468","151","317","455","143","312","448","141","307"
3,"Oslo By steinerskole","Studieforberedende","430","150","280","430","157","273","406","155","251","402","146","256","448","171","277","472","182","290","475","167","308","467","155","312","481","151","330","492","156","336","485","151","334","468","151","317","455","143","312","448","141","307"
3,"Oslo By steinerskole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","13","52","115","25","90","107","22","85","109","17","92","100","7","93","101","7","94","96","8","88","102","11","91","101","9","92"
3,"Oslo By steinerskole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","8","10","35","13","22","52","20","32","68","24","44","84","35","49","101","35","66","100","43","57","97","39","58","90","35","55","96","29","67"
3,"Oslo By steinerskole","Musikk, dans og drama","89","39","50","91","45","46","96","48","48","86","39","47","95","40","55","90","37","53","90","38","52","96","35","61","95","32","63","94","39","55","95","41","54","96","50","46","100","49","51","100","51","49"
3,"Oslo By steinerskole","Studieforberedende Vg3 Medier og kommunikasjon","29","10","19","27","14","13","13","6","7","15","6","9","23","13","10","15","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Oslo By steinerskole","Studiespesialisering","181","81","100","197","84","113","195","82","113","201","80","121","215","85","130","231","100","131","218","84","134","196","74","122","193","67","126","197","75","122","189","60","129","179","54","125","163","48","115","151","52","99"
3,"Oslo By steinerskole","Studiespesialisering med formgivning","131","20","111","115","14","101","102","19","83","100","21","79","97","25","72","36","12","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Oslo By steinerskole","Yrkesfaglig","42","21","21","32","15","17","36","18","18","37","18","19","17","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Oslo By steinerskole","Medier og kommunikasjon (gammel ordning)","42","21","21","32","15","17","36","18","18","37","18","19","17","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
