"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter"
3,"Sogn videregående skole (Nedlagt)","Alle utdanningsprogram","832","577","255"
3,"Sogn videregående skole (Nedlagt)","Studieforberedende","112","63","49"
3,"Sogn videregående skole (Nedlagt)","Påbygging til generell studiekompetanse","88","46","42"
3,"Sogn videregående skole (Nedlagt)","Studiespesialisering","24","17","7"
3,"Sogn videregående skole (Nedlagt)","Yrkesfaglig","720","514","206"
3,"Sogn videregående skole (Nedlagt)","Bygg- og anleggsteknikk","145","143","2"
3,"Sogn videregående skole (Nedlagt)","Design og håndverk","110","22","88"
3,"Sogn videregående skole (Nedlagt)","Elektro og datateknologi","170","167","3"
3,"Sogn videregående skole (Nedlagt)","Helse- og oppvekstfag","114","14","100"
3,"Sogn videregående skole (Nedlagt)","Naturbruk","13","8","5"
3,"Sogn videregående skole (Nedlagt)","Service og samferdsel","71","66","5"
3,"Sogn videregående skole (Nedlagt)","Teknologi- og industrifag","97","94","3"
