"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Ullern videregående skole","Alle utdanningsprogram","557","253","304","568","234","334","618","292","326","740","368","372","835","402","433","869","392","477","877","371","506","908","414","494","941","419","522","948","447","501","953","448","505","966","456","510","990","457","533","965","473","492"
3,"Ullern videregående skole","Studieforberedende","493","225","268","504","211","293","555","260","295","589","286","303","661","316","345","725","322","403","734","298","436","770","343","427","796","343","453","817","384","433","818","376","442","839","380","459","857","384","473","830","410","420"
3,"Ullern videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","16","15","63","26","37","96","37","59","93","41","52","100","45","55","92","45","47","94","38","56","90","32","58","89","29","60","91","30","61"
3,"Ullern videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","1","28","32","4","28","29","2","27","28","2","26","38","4","34","33","2","31","25","1","24","32","5","27","19","3","16"
3,"Ullern videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","32","21","11","33","17","16","32","13","19","32","11","21","31","19","12","28","17","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Ullern videregående skole","Studiespesialisering","461","204","257","471","194","277","523","247","276","557","275","282","599","281","318","605","278","327","606","257","349","648","300","348","668","296","372","687","335","352","691","336","355","724","347","377","736","350","386","720","377","343"
3,"Ullern videregående skole","Yrkesfaglig","64","28","36","64","23","41","63","32","31","151","82","69","174","86","88","144","70","74","143","73","70","138","71","67","145","76","69","131","63","68","135","72","63","127","76","51","133","73","60","135","63","72"
3,"Ullern videregående skole","Elektro og datateknologi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"46","44","2","64","62","2","60","59","1","64","64",NA,"60","60",NA,"63","63",NA,"57","57",NA,"60","60",NA,"67","67",NA,"65","65",NA,"57","57",NA
3,"Ullern videregående skole","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,"48","5","43","82","6","76","84","11","73","79","9","70","78","11","67","82","13","69","74","6","68","75","12","63","60","9","51","68","8","60","78","6","72"
3,"Ullern videregående skole","Medier og kommunikasjon (gammel ordning)","64","28","36","64","23","41","63","32","31","57","33","24","28","18","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
