"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
40,"Bamble videregående skole","Alle utdanningsprogram","289","140","149","288","115","173","472","231","241","519","274","245","503","285","218","494","257","237","473","243","230","433","228","205","361","197","164","323","168","155","322","169","153","338","188","150","339","197","142","383","220","163"
40,"Bamble videregående skole","Studieforberedende","231","97","134","228","77","151","204","79","125","237","115","122","232","117","115","237","110","127","221","100","121","190","70","120","173","66","107","167","60","107","133","49","84","119","42","77","113","42","71","132","59","73"
40,"Bamble videregående skole","Påbygging til generell studiekompetanse","61","29","32","58","14","44","39","18","21","77","46","31","72","33","39","60","21","39","48","25","23","19","6","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Bamble videregående skole","Studiespesialisering","170","68","102","170","63","107","165","61","104","160","69","91","160","84","76","177","89","88","173","75","98","171","64","107","173","66","107","167","60","107","133","49","84","119","42","77","113","42","71","132","59","73"
40,"Bamble videregående skole","Yrkesfaglig","58","43","15","60","38","22","268","152","116","282","159","123","271","168","103","257","147","110","252","143","109","243","158","85","188","131","57","156","108","48","189","120","69","219","146","73","226","155","71","251","161","90"
40,"Bamble videregående skole","Elektro og datateknologi",NA,NA,NA,NA,NA,NA,"32","29","3","32","31","1","32","30","2","30","25","5","29","26","3","29","27","2","28","28",NA,"29","27","2","30","27","3","31","30","1","30","27","3","30","26","4"
40,"Bamble videregående skole","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,"81","9","72","80","8","72","79","14","65","78","18","60","89","18","71","77","27","50","44","14","30","37","13","24","42","11","31","44","5","39","32","5","27","51","8","43"
40,"Bamble videregående skole","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,"33","17","16","45","21","24","38","18","20","34","17","17","26","15","11","28","17","11","14","8","6","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Bamble videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","11","5","28","16","12","34","15","19","33","15","18","36","20","16","36","23","13"
40,"Bamble videregående skole","Service og samferdsel","58","43","15","60","38","22","59","38","21","58","42","16","56","44","12","56","34","22","57","37","20","45","31","14","22","15","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Bamble videregående skole","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,"63","59","4","67","57","10","66","62","4","59","53","6","51","47","4","64","56","8","64","55","9","61","51","10","83","67","16","111","96","15","128","103","25","134","104","30"
