"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
40,"Hjalmar Johansen videregående skole","Alle utdanningsprogram","582","334","248","608","355","253","640","372","268","593","343","250","659","360","299","562","291","271","548","276","272","548","290","258","597","303","294","614","323","291","576","295","281","531","266","265","580","294","286","556","294","262"
40,"Hjalmar Johansen videregående skole","Studieforberedende","290","153","137","314","175","139","330","164","166","326","167","159","469","234","235","516","266","250","497","242","255","497","255","242","539","268","271","545","284","261","509","260","249","470","236","234","512","259","253","483","256","227"
40,"Hjalmar Johansen videregående skole","Idrettsfag","181","109","72","196","122","74","216","115","101","217","114","103","229","128","101","228","130","98","234","130","104","231","121","110","244","132","112","245","137","108","252","146","106","242","143","99","238","146","92","243","154","89"
40,"Hjalmar Johansen videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","19","41","117","50","67","133","52","81","147","78","69","165","85","80","150","83","67","128","68","60","105","43","62","123","56","67","119","53","66"
40,"Hjalmar Johansen videregående skole","Påbygging til generell studiekompetanse","59","17","42","59","21","38","57","22","35","58","23","35","114","48","66","119","60","59","115","47","68","106","47","59","115","41","74","139","56","83","118","37","81","118","46","72","145","52","93","119","48","71"
40,"Hjalmar Johansen videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","29","12","17","40","16","24","40","13","27","30","13","17","49","25","24","31","7","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Hjalmar Johansen videregående skole","Studiespesialisering","21","15","6","19","16","3","17","14","3","21","17","4","17","14","3","21","19","2","15","13","2","13","9","4","15","10","5","11","8","3","11","9","2","5","4","1","6","5","1","2","1","1"
40,"Hjalmar Johansen videregående skole","Yrkesfaglig","292","181","111","294","180","114","310","208","102","267","176","91","190","126","64","46","25","21","51","34","17","51","35","16","58","35","23","69","39","30","67","35","32","61","30","31","68","35","33","73","38","35"
40,"Hjalmar Johansen videregående skole","Medier og kommunikasjon (gammel ordning)","88","33","55","87","30","57","101","46","55","88","34","54","42","12","30","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Hjalmar Johansen videregående skole","Restaurant- og matfag","62","33","29","59","25","34","70","37","33","44","20","24","42","20","22","44","23","21","51","34","17","51","35","16","58","35","23","69","39","30","67","35","32","61","30","31","68","35","33","73","38","35"
40,"Hjalmar Johansen videregående skole","Teknologi- og industrifag","142","115","27","148","125","23","139","125","14","135","122","13","106","94","12","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
