"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
40,"Nome videregående skole avd Søve","Alle utdanningsprogram","123","30","93","134","28","106","399","220","179","387","220","167","388","222","166","396","214","182","390","207","183","404","205","199","410","222","188","430","239","191","442","232","210","444","222","222","451","227","224","452","231","221"
40,"Nome videregående skole avd Søve","Studieforberedende","53","13","40","52","14","38","61","17","44","45","17","28","59","16","43","49","11","38","58","16","42","58","11","47","59","13","46","57","15","42","47","11","36","59","18","41","54","16","38","56","9","47"
40,"Nome videregående skole avd Søve","Påbygging til generell studiekompetanse","32","10","22","31","10","21","30","10","20","26","16","10","26","9","17","24","7","17","28","9","19","25","5","20","30","7","23","30","11","19","22","6","16","30","13","17","29","9","20","28","5","23"
40,"Nome videregående skole avd Søve","Studieforberedende Vg3 Naturbruk","21","3","18","21","4","17","31","7","24","19","1","18","33","7","26","25","4","21","30","7","23","33","6","27","29","6","23","27","4","23","25","5","20","29","5","24","25","7","18","28","4","24"
40,"Nome videregående skole avd Søve","Yrkesfaglig","70","17","53","82","14","68","338","203","135","342","203","139","329","206","123","347","203","144","332","191","141","346","194","152","351","209","142","373","224","149","395","221","174","385","204","181","397","211","186","396","222","174"
40,"Nome videregående skole avd Søve","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,"97","90","7","85","83","2","83","81","2","92","85","7","77","69","8","86","76","10","80","74","6","91","79","12","100","86","14","100","85","15","105","82","23","107","89","18"
40,"Nome videregående skole avd Søve","Design og håndverk",NA,NA,NA,NA,NA,NA,"31","3","28","28","1","27","28",NA,"28","26","4","22","22","6","16","25","5","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Nome videregående skole avd Søve","Elektro og datateknologi",NA,NA,NA,NA,NA,NA,"41","40","1","45","41","4","47","43","4","41","40","1","45","40","5","43","39","4","46","40","6","50","46","4","50","48","2","54","49","5","57","53","4","49","44","5"
40,"Nome videregående skole avd Søve","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","3","12","17","2","15","22",NA,"22","24",NA,"24","18",NA,"18","21",NA,"21"
40,"Nome videregående skole avd Søve","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,"45","9","36","46","6","40","47","15","32","49","13","36","44","13","31","47","14","33","46","12","34","53","9","44","42","3","39","47","3","44","52",NA,"52","49","2","47"
40,"Nome videregående skole avd Søve","Naturbruk","70","17","53","82","14","68","81","19","62","93","31","62","87","32","55","104","29","75","111","37","74","115","35","80","109","40","69","111","49","62","127","45","82","108","31","77","106","26","80","111","36","75"
40,"Nome videregående skole avd Søve","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,"43","42","1","45","41","4","37","35","2","35","32","3","33","26","7","30","25","5","55","40","15","51","39","12","54","39","15","52","36","16","59","50","9","59","51","8"
