"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
40,"Notodden videregående skole","Alle utdanningsprogram","493","239","254","500","238","262","546","254","292","553","265","288","543","256","287","512","239","273","500","245","255","504","256","248","462","242","220","487","254","233","474","241","233","462","218","244","479","240","239","448","227","221"
40,"Notodden videregående skole","Studieforberedende","276","126","150","275","118","157","310","133","177","321","135","186","290","122","168","299","124","175","263","108","155","252","103","149","214","100","114","216","97","119","205","90","115","210","74","136","216","83","133","181","70","111"
40,"Notodden videregående skole","Påbygging til generell studiekompetanse","31","14","17","47","14","33","57","22","35","70","26","44","36","7","29","46","13","33","28","5","23","28","6","22","30","7","23","47","15","32","51","12","39","53","7","46","66","17","49","30","9","21"
40,"Notodden videregående skole","Studiespesialisering","245","112","133","228","104","124","253","111","142","251","109","142","254","115","139","253","111","142","235","103","132","224","97","127","184","93","91","169","82","87","154","78","76","157","67","90","150","66","84","151","61","90"
40,"Notodden videregående skole","Yrkesfaglig","217","113","104","225","120","105","236","121","115","232","130","102","253","134","119","213","115","98","237","137","100","252","153","99","248","142","106","271","157","114","269","151","118","252","144","108","263","157","106","267","157","110"
40,"Notodden videregående skole","Elektro og datateknologi","15","15",NA,"16","16",NA,"30","29","1","36","35","1","29","27","2","22","21","1","31","30","1","29","28","1","18","16","2","33","31","2","35","34","1","35","34","1","31","30","1","29","25","4"
40,"Notodden videregående skole","Helse- og oppvekstfag","98","17","81","98","16","82","95","7","88","95","9","86","102","13","89","95","15","80","108","25","83","97","22","75","104","28","76","100","18","82","105","13","92","88","12","76","86","15","71","81","10","71"
40,"Notodden videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","13","6","33","23","10","26","17","9","27","19","8","34","27","7","45","34","11"
40,"Notodden videregående skole","Service og samferdsel","43","27","16","52","34","18","47","31","16","41","34","7","58","39","19","43","29","14","44","32","12","66","50","16","40","28","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Notodden videregående skole","Teknologi- og industrifag","61","54","7","59","54","5","64","54","10","60","52","8","64","55","9","53","50","3","54","50","4","60","53","7","67","57","10","105","85","20","103","87","16","102","79","23","112","85","27","112","88","24"
