"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
40,"Porsgrunn videregående skole","Alle utdanningsprogram","1075","503","572","1082","489","593","1110","494","616","1039","428","611","1006","437","569","993","431","562","961","451","510","950","436","514","913","423","490","915","450","465","914","440","474","910","436","474","872","402","470","846","373","473"
40,"Porsgrunn videregående skole","Studieforberedende","785","353","432","769","335","434","757","333","424","731","283","448","783","324","459","816","330","486","794","347","447","775","330","445","722","300","422","698","300","398","674","275","399","637","251","386","603","212","391","575","201","374"
40,"Porsgrunn videregående skole","Idrettsfag","142","66","76","140","67","73","160","89","71","143","72","71","117","63","54","114","59","55","127","71","56","142","79","63","144","80","64","130","82","48","126","71","55","138","82","56","123","67","56","93","52","41"
40,"Porsgrunn videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","7","19","45","12","33","63","16","47","67","13","54","68","9","59","76","14","62","75","16","59","74","11","63","81","17","64","78","14","64"
40,"Porsgrunn videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","14","18","52","24","28","65","32","33","63","29","34","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Porsgrunn videregående skole","Påbygging til generell studiekompetanse","44","24","20","61","22","39","37","21","16","32","11","21","1",NA,"1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","13","17"
40,"Porsgrunn videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","13","5","8",NA,NA,NA,"19","5","14","27","8","19","28","17","11","29","10","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Porsgrunn videregående skole","Studiespesialisering","546","250","296","544","242","302","531","216","315","529","192","337","579","223","356","576","225","351","538","227","311","503","209","294","504","205","299","492","204","288","473","188","285","425","158","267","399","128","271","374","122","252"
40,"Porsgrunn videregående skole","Studiespesialisering med formgivning","40","8","32","24","4","20","10","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Porsgrunn videregående skole","Yrkesfaglig","290","150","140","313","154","159","353","161","192","308","145","163","223","113","110","177","101","76","167","104","63","175","106","69","191","123","68","217","150","67","240","165","75","273","185","88","269","190","79","271","172","99"
40,"Porsgrunn videregående skole","Design og håndverk","96","17","79","96","17","79","131","15","116","106","13","93","77","15","62","70","15","55","67","16","51","64","14","50","23","3","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Porsgrunn videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37","7","30","55","8","47","51","4","47","59","3","56","57","5","52","65","6","59"
40,"Porsgrunn videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","26","6","66","58","8","74","67","7","88","78","10","80","73","7","74","64","10"
40,"Porsgrunn videregående skole","Medier og kommunikasjon (gammel ordning)","42","11","31","65","18","47","78","34","44","73","34","39","30","11","19","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Porsgrunn videregående skole","Teknologi- og industrifag","152","122","30","152","119","33","144","112","32","129","98","31","116","87","29","106","85","21","100","88","12","111","92","19","99","87","12","96","84","12","115","94","21","126","104","22","132","112","20","132","102","30"
