"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
40,"Vest-Telemark vidaregåande skule","Alle utdanningsprogram","192","93","99","189","100","89","291","149","142","282","151","131","275","143","132","257","129","128","244","117","127","238","117","121","234","115","119","171","74","97","179","79","100","144","75","69","158","79","79","210","107","103"
40,"Vest-Telemark vidaregåande skule","Studieforberedende","91","25","66","83","28","55","121","45","76","96","36","60","108","34","74","114","42","72","109","36","73","101","31","70","91","24","67","67","15","52","66","13","53","44","7","37","58","12","46","81","21","60"
40,"Vest-Telemark vidaregåande skule","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","2","5","23","10","13","22","9","13","17","8","9","3","3",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Vest-Telemark vidaregåande skule","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,"12","6","6","14","5","9","20","7","13","18","8","10","21","8","13","15","3","12","29","8","21","15","1","14","20","4","16","14","2","12","14","2","12","17","5","12"
40,"Vest-Telemark vidaregåande skule","Studieforberedende Vg3 Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,"16","11","5","9","7","2","9","5","4","8","3","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Vest-Telemark vidaregåande skule","Studiespesialisering","91","25","66","83","28","55","93","28","65","73","24","49","72","20","52","65","21","44","66","19","47","69","20","49","59","13","46","51","13","38","46","9","37","30","5","25","44","10","34","64","16","48"
40,"Vest-Telemark vidaregåande skule","Yrkesfaglig","101","68","33","106","72","34","170","104","66","186","115","71","167","109","58","143","87","56","135","81","54","137","86","51","143","91","52","104","59","45","113","66","47","100","68","32","100","67","33","129","86","43"
40,"Vest-Telemark vidaregåande skule","Elektro og datateknologi","15","14","1","27","24","3","24","23","1","28","24","4","23","19","4","24","24",NA,"26","25","1","28","27","1","30","28","2","17","16","1","22","18","4","17","14","3","18","18",NA,"17","15","2"
40,"Vest-Telemark vidaregåande skule","Helse- og oppvekstfag","31","4","27","32","1","31","33","2","31","36","4","32","40","5","35","40","3","37","45","4","41","47","4","43","45","4","41","42","7","35","39","5","34","30","4","26","31","4","27","39","6","33"
40,"Vest-Telemark vidaregåande skule","Medier og kommunikasjon (gammel ordning)",NA,NA,NA,NA,NA,NA,"41","23","18","40","24","16","21","15","6","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Vest-Telemark vidaregåande skule","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,"19","5","14","25","10","15","18","10","8","25","9","16","16","7","9","14","10","4","8","3","5","6","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Vest-Telemark vidaregåande skule","Teknologi- og industrifag","55","50","5","47","47",NA,"53","51","2","57","53","4","65","60","5","53","50","3","48","45","3","48","45","3","60","56","4","39","33","6","52","43","9","53","50","3","51","45","6","73","65","8"
