"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Arendal videregående skole avd Tyholmen","Alle utdanningsprogram","850","402","448","824","386","438","850","399","451","858","381","477","855","377","478","853","382","471","801","369","432","751","321","430","694","314","380","659","295","364","657","283","374","627","245","382","678","241","437","692","261","431"
42,"Arendal videregående skole avd Tyholmen","Studieforberedende","803","379","424","784","363","421","803","369","434","799","349","450","803","346","457","801","349","452","759","341","418","707","295","412","651","290","361","615","269","346","616","261","355","580","222","358","628","215","413","648","241","407"
42,"Arendal videregående skole avd Tyholmen","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","2","12","17","4","13","39","7","32","43","7","36","49","5","44","62","9","53","64","7","57","51","4","47","58","4","54","46","3","43"
42,"Arendal videregående skole avd Tyholmen","Påbygging til generell studiekompetanse","59","28","31","60","19","41","86","39","47","82","41","41","75","32","43","89","50","39","56","29","27","51","24","27","47","24","23","33","18","15","48","22","26","29","13","16","80","27","53","85","43","42"
42,"Arendal videregående skole avd Tyholmen","Studiespesialisering","744","351","393","724","344","380","717","330","387","717","308","409","714","312","402","695","295","400","664","305","359","613","264","349","555","261","294","520","242","278","504","232","272","500","205","295","490","184","306","517","195","322"
42,"Arendal videregående skole avd Tyholmen","Yrkesfaglig","47","23","24","40","23","17","47","30","17","59","32","27","52","31","21","52","33","19","42","28","14","44","26","18","43","24","19","44","26","18","41","22","19","47","23","24","50","26","24","44","20","24"
42,"Arendal videregående skole avd Tyholmen","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"3","3",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Arendal videregående skole avd Tyholmen","Design og håndverk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Arendal videregående skole avd Tyholmen","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2","1","1","4","2","2","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Arendal videregående skole avd Tyholmen","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Arendal videregående skole avd Tyholmen","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Arendal videregående skole avd Tyholmen","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","13","11","44","26","18","41","22","19","47","23","24","50","26","24","44","20","24"
42,"Arendal videregående skole avd Tyholmen","Service og samferdsel","47","23","24","40","23","17","47","30","17","59","32","27","48","28","20","45","30","15","37","26","11","39","22","17","18","10","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Arendal videregående skole avd Tyholmen","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
