"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Dahlske videregående skole","Alle utdanningsprogram","761","376","385","771","364","407","739","351","388","765","368","397","774","383","391","817","413","404","771","396","375","747","351","396","793","378","415","780","365","415","775","368","407","733","355","378","714","358","356","744","348","396"
42,"Dahlske videregående skole","Studieforberedende","493","205","288","498","201","297","475","185","290","499","207","292","509","216","293","530","216","314","494","214","280","484","191","293","496","188","308","467","177","290","476","186","290","439","164","275","416","167","249","434","163","271"
42,"Dahlske videregående skole","Musikk, dans og drama","102","32","70","106","26","80","111","28","83","108","29","79","99","25","74","110","26","84","106","33","73","99","25","74","100","22","78","87","19","68","94","24","70","79","24","55","78","25","53","74","19","55"
42,"Dahlske videregående skole","Påbygging til generell studiekompetanse","29","11","18","30","8","22","30","7","23","31","12","19","52","26","26","59","35","24","52","26","26","58","23","35","58","22","36","58","22","36","57","19","38","58","13","45","58","26","32","59","21","38"
42,"Dahlske videregående skole","Studiespesialisering","362","162","200","362","167","195","334","150","184","360","166","194","358","165","193","361","155","206","336","155","181","327","143","184","338","144","194","322","136","186","325","143","182","302","127","175","280","116","164","301","123","178"
42,"Dahlske videregående skole","Yrkesfaglig","268","171","97","273","163","110","264","166","98","266","161","105","265","167","98","287","197","90","277","182","95","263","160","103","297","190","107","313","188","125","299","182","117","294","191","103","298","191","107","310","185","125"
42,"Dahlske videregående skole","Bygg- og anleggsteknikk","30","30",NA,"35","33","2","30","29","1","28","28",NA,"43","43",NA,"44","43","1","41","39","2","44","40","4","44","42","2","43","40","3","38","37","1","39","35","4","42","38","4","44","42","2"
42,"Dahlske videregående skole","Elektro og datateknologi","43","41","2","46","41","5","44","39","5","44","37","7","45","43","2","44","42","2","31","29","2","29","27","2","45","43","2","44","42","2","59","55","4","70","65","5","73","68","5","76","66","10"
42,"Dahlske videregående skole","Helse- og oppvekstfag","74","11","63","74","8","66","75","9","66","77","9","68","89","15","74","98","29","69","114","44","70","91","20","71","92","17","75","107","20","87","95","14","81","73","10","63","79","10","69","83","9","74"
42,"Dahlske videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","18","14","61","31","30","55","29","26","53","34","19","47","19","28","48","17","31"
42,"Dahlske videregående skole","Service og samferdsel","58","30","28","58","29","29","54","29","25","60","32","28","47","28","19","55","37","18","53","32","21","59","37","22","34","24","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Dahlske videregående skole","Teknologi- og industrifag","63","59","4","60","52","8","61","60","1","57","55","2","41","38","3","46","46",NA,"38","38",NA,"40","36","4","50","46","4","58","55","3","52","47","5","59","47","12","57","56","1","59","51","8"
