"fylkesnr","skole","linje","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Eilert Sundt videregående skole Studiested Farsund","Alle utdanningsprogram","561","272","289","581","288","293","584","311","273","502","258","244","478","237","241","484","240","244","516","263","253","574","293","281","577","294","283","596","300","296"
42,"Eilert Sundt videregående skole Studiested Farsund","Studieforberedende","305","112","193","306","120","186","305","129","176","239","100","139","233","104","129","221","84","137","220","92","128","244","93","151","235","91","144","236","104","132"
42,"Eilert Sundt videregående skole Studiested Farsund","Påbygging til generell studiekompetanse","30","11","19","31","14","17","28","14","14","30","13","17","30","14","16","35","6","29","38","15","23","60","20","40","49","11","38","50","18","32"
42,"Eilert Sundt videregående skole Studiested Farsund","Studiespesialisering","275","101","174","275","106","169","277","115","162","209","87","122","203","90","113","186","78","108","182","77","105","184","73","111","186","80","106","186","86","100"
42,"Eilert Sundt videregående skole Studiested Farsund","Yrkesfaglig","256","160","96","275","168","107","279","182","97","263","158","105","245","133","112","263","156","107","296","171","125","330","200","130","342","203","139","360","196","164"
42,"Eilert Sundt videregående skole Studiested Farsund","Bygg- og anleggsteknikk","58","57","1","65","61","4","64","61","3","39","37","2","41","38","3","61","59","2","52","47","5","52","46","6","57","50","7","60","56","4"
42,"Eilert Sundt videregående skole Studiested Farsund","Design og håndverk","27","2","25","35","6","29","34","6","28","25","3","22","10",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Eilert Sundt videregående skole Studiested Farsund","Elektro og datateknologi","29","23","6","28","24","4","24","23","1","21","20","1","17","17",NA,"27","27",NA,"31","29","2","30","28","2","29","29",NA,"28","25","3"
42,"Eilert Sundt videregående skole Studiested Farsund","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","1","11","25","2","23","28","6","22","32","3","29","42","1","41","56","2","54"
42,"Eilert Sundt videregående skole Studiested Farsund","Helse- og oppvekstfag","58","6","52","77","13","64","84","21","63","101","26","75","94","18","76","85","11","74","98","14","84","99","23","76","95","20","75","96","14","82"
42,"Eilert Sundt videregående skole Studiested Farsund","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","13","2","28","26","2","25","23","2","24","22","2"
42,"Eilert Sundt videregående skole Studiested Farsund","Service og samferdsel","11","11",NA,"11","11",NA,"10","10",NA,"12","12",NA,"9","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Eilert Sundt videregående skole Studiested Farsund","Teknologi- og industrifag","73","61","12","59","53","6","63","61","2","65","60","5","62","50","12","65","57","8","72","62","10","89","74","15","94","80","14","96","77","19"
