"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Flekkefjord videregående skole Studiested Flekkefjord","Alle utdanningsprogram","1112","524","588","1126","536","590","1119","533","586","1096","531","565","553","295","258","563","305","258","556","289","267","546","261","285","525","253","272","509","241","268","467","228","239","485","233","252","499","238","261","506","239","267"
42,"Flekkefjord videregående skole Studiested Flekkefjord","Studieforberedende","515","187","328","553","200","353","599","217","382","557","201","356","324","156","168","350","169","181","343","156","187","318","138","180","277","106","171","263","101","162","236","97","139","234","85","149","220","77","143","234","75","159"
42,"Flekkefjord videregående skole Studiested Flekkefjord","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"10","20","3","17","31","3","28","21","3","18","11",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Flekkefjord videregående skole Studiested Flekkefjord","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","18","8","40","31","9","48","37","11","42","28","14","45","27","18","55","30","25","27","16","11","19","10","9",NA,NA,NA,NA,NA,NA
42,"Flekkefjord videregående skole Studiested Flekkefjord","Musikk, dans og drama","12","6","6","11","5","6","8","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Flekkefjord videregående skole Studiested Flekkefjord","Påbygging til generell studiekompetanse","58","16","42","60","14","46","77","12","65","72","16","56","47","17","30","36","11","25","45","14","31","37","16","21","41","13","28","41","13","28","28","11","17","41","6","35","39","7","32","45","11","34"
42,"Flekkefjord videregående skole Studiested Flekkefjord","Studieforberedende Vg3 Medier og kommunikasjon","16","9","7","22","9","13","24","16","8","14","4","10","18","15","3","21","15","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Flekkefjord videregående skole Studiested Flekkefjord","Studiespesialisering","404","155","249","422","171","251","445","186","259","422","177","245","198","103","95","216","107","109","219","102","117","218","91","127","180","66","114","167","58","109","181","70","111","174","69","105","181","70","111","189","64","125"
42,"Flekkefjord videregående skole Studiested Flekkefjord","Studiespesialisering med formgivning","25","1","24","38","1","37","45","2","43","49","4","45","25","3","22","17","2","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Flekkefjord videregående skole Studiested Flekkefjord","Yrkesfaglig","597","337","260","573","336","237","520","316","204","539","330","209","229","139","90","213","136","77","213","133","80","228","123","105","248","147","101","246","140","106","231","131","100","251","148","103","279","161","118","272","164","108"
