"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Kvadraturen videregående skole","Alle utdanningsprogram","1012","602","410","1001","599","402","965","557","408","962","584","378","855","493","362","913","533","380","855","465","390","890","489","401","1017","516","501","1059","525","534","1061","513","548","1010","484","526","959","473","486","1073","537","536"
42,"Kvadraturen videregående skole","Studieforberedende","314","172","142","298","144","154","328","141","187","365","187","178","329","167","162","355","194","161","286","143","143","276","139","137","354","147","207","380","171","209","375","161","214","376","156","220","331","126","205","384","171","213"
42,"Kvadraturen videregående skole","Idrettsfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","19","8","78","55","23","105","67","38","133","72","61","149","80","69","168","93","75","169","94","75","164","89","75","165","82","83","165","77","88"
42,"Kvadraturen videregående skole","Påbygging til generell studiekompetanse","146","74","72","117","47","70","152","49","103","177","84","93","177","79","98","159","66","93","155","57","98","121","52","69","186","57","129","192","70","122","185","57","128","193","58","135","155","39","116","212","90","122"
42,"Kvadraturen videregående skole","Studiespesialisering","168","98","70","181","97","84","176","92","84","188","103","85","125","69","56","118","73","45","26","19","7","22","15","7","19","10","9","20","8","12","21","10","11","19","9","10","11","5","6","7","4","3"
42,"Kvadraturen videregående skole","Yrkesfaglig","698","430","268","703","455","248","637","416","221","597","397","200","526","326","200","558","339","219","569","322","247","614","350","264","663","369","294","679","354","325","686","352","334","634","328","306","628","347","281","689","366","323"
42,"Kvadraturen videregående skole","Bygg- og anleggsteknikk","9","8","1","9","8","1","6","6",NA,"7","7",NA,NA,NA,NA,"8","8",NA,"7","7",NA,"5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Kvadraturen videregående skole","Elektro og datateknologi","166","158","8","179","171","8","162","160","2","156","152","4","157","151","6","163","155","8","163","147","16","172","155","17","182","162","20","187","169","18","194","180","14","187","172","15","209","188","21","206","188","18"
42,"Kvadraturen videregående skole","Helse- og oppvekstfag","224","22","202","218","21","197","195","12","183","190","21","169","199","21","178","226","36","190","228","26","202","259","33","226","299","48","251","317","44","273","320","36","284","290","27","263","263","23","240","307","23","284"
42,"Kvadraturen videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,"2","2",NA
42,"Kvadraturen videregående skole","Restaurant- og matfag","16","5","11","13","5","8","8","4","4","15","7","8",NA,NA,NA,"11","4","7","8","4","4","8","6","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA
42,"Kvadraturen videregående skole","Service og samferdsel","26","19","7","24","21","3","28","21","7","24","18","6","15","13","2","23","21","2","25","19","6","23","19","4","16","12","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Kvadraturen videregående skole","Teknologi- og industrifag","257","218","39","260","229","31","238","213","25","205","192","13","155","141","14","127","115","12","138","119","19","147","132","15","166","147","19","175","141","34","172","136","36","156","128","28","153","133","20","173","152","21"
