"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Lillesand videregående skole","Alle utdanningsprogram","496","214","282","494","205","289","486","219","267","502","240","262","463","227","236","490","247","243","481","239","242","435","205","230","377","153","224","355","139","216","369","152","217","369","158","211","417","186","231","388","184","204"
42,"Lillesand videregående skole","Studieforberedende","262","114","148","274","122","152","280","129","151","288","138","150","291","141","150","320","172","148","288","148","140","271","135","136","237","97","140","226","99","127","211","96","115","211","102","109","239","110","129","209","107","102"
42,"Lillesand videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","4","6","16","3","13","12","3","9","14","3","11","11","3","8","8","3","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Lillesand videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","17","5","39","29","10","38","31","7","30","20","10","14","9","5","13","8","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Lillesand videregående skole","Påbygging til generell studiekompetanse","58","21","37","45","26","19","44","25","19","42","25","17","28","9","19","35","15","20","29","6","23","27","13","14","25","9","16","26","5","21","30","9","21","31","8","23","48","12","36","28","6","22"
42,"Lillesand videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","14","8","6","12","8","4","15","7","8","9","6","3","9","4","5","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Lillesand videregående skole","Studiespesialisering","179","82","97","205","83","122","195","92","103","211","105","106","201","106","95","209","112","97","209","108","101","200","99","101","187","76","111","179","83","96","181","87","94","180","94","86","191","98","93","181","101","80"
42,"Lillesand videregående skole","Studiespesialisering med formgivning","11","3","8","12","5","7","26","5","21","26","2","24","21","1","20","9","1","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Lillesand videregående skole","Yrkesfaglig","234","100","134","220","83","137","206","90","116","214","102","112","172","86","86","170","75","95","193","91","102","164","70","94","140","56","84","129","40","89","158","56","102","158","56","102","178","76","102","179","77","102"
42,"Lillesand videregående skole","Bygg- og anleggsteknikk","26","26",NA,"15","14","1","15","14","1","22","21","1","14","14",NA,"13","13",NA,"23","23",NA,"13","12","1","11","10","1","15","14","1","22","21","1","23","23",NA,"40","40",NA,"44","43","1"
42,"Lillesand videregående skole","Design og håndverk","24","3","21","27","2","25","13",NA,"13","10","2","8","15","2","13","10","2","8","13","2","11","8","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Lillesand videregående skole","Helse- og oppvekstfag","81","12","69","82","18","64","84","17","67","91","15","76","74","15","59","96","19","77","99","24","75","99","20","79","93","23","70","90","15","75","117","23","94","115","17","98","113","17","96","106","13","93"
42,"Lillesand videregående skole","Medier og kommunikasjon (gammel ordning)","54","30","24","43","23","20","29","14","15","45","34","11","25","22","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Lillesand videregående skole","Restaurant- og matfag","20","10","10","18","5","13","22","9","13","12","5","7","11","7","4","23","17","6","24","16","8","6","6",NA,"7","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Lillesand videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","7","6","24","11","13","19","12","7","20","16","4","25","19","6","29","21","8"
42,"Lillesand videregående skole","Service og samferdsel","29","19","10","35","21","14","43","36","7","34","25","9","33","26","7","28","24","4","34","26","8","38","30","8","16","13","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
