"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Mandal videregående skole","Alle utdanningsprogram","733","394","339","741","377","364","806","412","394","818","415","403","780","373","407","766","384","382","742","387","355","741","364","377","713","351","362","714","348","366","693","345","348","737","354","383","763","374","389","776","398","378"
42,"Mandal videregående skole","Studieforberedende","402","176","226","426","191","235","503","227","276","507","229","278","470","202","268","471","202","269","449","206","243","427","187","240","399","170","229","409","172","237","385","164","221","402","156","246","392","145","247","402","161","241"
42,"Mandal videregående skole","Idrettsfag","54","35","19","67","42","25","80","54","26","86","59","27","89","60","29","88","58","30","81","49","32","81","43","38","79","42","37","79","42","37","78","48","30","80","50","30","78","44","34","83","42","41"
42,"Mandal videregående skole","Påbygging til generell studiekompetanse","29","10","19","31","12","19","59","27","32","52","28","24","36","10","26","38","9","29","38","12","26","38","16","22","50","12","38","59","24","35","44","15","29","51","18","33","47","20","27","50","23","27"
42,"Mandal videregående skole","Studiespesialisering","319","131","188","328","137","191","364","146","218","369","142","227","345","132","213","345","135","210","330","145","185","308","128","180","270","116","154","271","106","165","263","101","162","271","88","183","267","81","186","269","96","173"
42,"Mandal videregående skole","Yrkesfaglig","331","218","113","315","186","129","303","185","118","311","186","125","310","171","139","295","182","113","293","181","112","314","177","137","314","181","133","305","176","129","308","181","127","335","198","137","371","229","142","374","237","137"
42,"Mandal videregående skole","Bygg- og anleggsteknikk","60","59","1","48","46","2","40","39","1","38","37","1","39","39",NA,"49","49",NA,"49","49",NA,"46","46",NA,"39","37","2","52","50","2","49","46","3","52","49","3","47","44","3","40","35","5"
42,"Mandal videregående skole","Design og håndverk","14",NA,"14","19",NA,"19","29",NA,"29","25",NA,"25","24","3","21","27","1","26","19","3","16","19","2","17","6","1","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Mandal videregående skole","Elektro og datateknologi","61","58","3","63","58","5","62","58","4","64","63","1","52","50","2","43","43",NA,"42","40","2","45","41","4","64","60","4","54","52","2","44","41","3","65","61","4","73","72","1","70","70",NA
42,"Mandal videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","2","10","8","1","7","13",NA,"13","11","1","10","11","3","8","1",NA,"1"
42,"Mandal videregående skole","Helse- og oppvekstfag","72","7","65","72","4","68","67","8","59","75","6","69","85","8","77","83","20","63","89","21","68","103","17","86","92","11","81","83","2","81","73","7","66","76","9","67","78","4","74","84","6","78"
42,"Mandal videregående skole","Restaurant- og matfag","23","7","16","21","9","12","16","7","9","22","10","12","24","12","12","14","9","5","16","6","10","16","7","9","11","8","3","16","10","6","23","14","9","22","10","12","24","10","14","26","16","10"
42,"Mandal videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","12","9","34","19","15","31","19","12","22","10","12","30","17","13","29","14","15"
42,"Mandal videregående skole","Service og samferdsel","43","34","9","42","25","17","36","21","15","34","19","15","47","28","19","45","30","15","37","26","11","43","26","17","22","14","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Mandal videregående skole","Teknologi- og industrifag","58","53","5","50","44","6","53","52","1","53","51","2","39","31","8","34","30","4","41","36","5","42","38","4","47","36","11","58","42","16","75","54","21","87","58","29","108","79","29","124","96","28"
