"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Risør videregående skole","Alle utdanningsprogram","240","122","118","265","145","120","275","152","123","286","168","118","292","163","129","263","146","117","216","116","100","222","128","94","185","109","76","155","96","59","154","106","48","135","89","46","115","76","39","130","79","51"
42,"Risør videregående skole","Studieforberedende","118","56","62","130","56","74","132","54","78","157","78","79","182","79","103","175","71","104","148","57","91","137","55","82","118","50","68","98","50","48","78","46","32","68","37","31","53","25","28","21","9","12"
42,"Risør videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","17","11","42","23","19","54","27","27","42","21","21","32","21","11","18","15","3","8","7","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Risør videregående skole","Musikk, dans og drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Risør videregående skole","Påbygging til generell studiekompetanse","24","9","15","22","7","15","22","5","17","22","10","12","20","6","14","14","6","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Risør videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","6","4","2","7","4","3","9","3","6","8","8",NA,"10","6","4","6","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Risør videregående skole","Studiespesialisering","88","43","45","101","45","56","101","46","55","127","60","67","124","50","74","113","40","73","93","30","63","95","34","61","86","29","57","80","35","45","70","39","31","68","37","31","53","25","28","21","9","12"
42,"Risør videregående skole","Yrkesfaglig","122","66","56","135","89","46","143","98","45","129","90","39","110","84","26","88","75","13","68","59","9","85","73","12","67","59","8","57","46","11","76","60","16","67","52","15","62","51","11","109","70","39"
42,"Risør videregående skole","Design og håndverk","13",NA,"13","14",NA,"14","11",NA,"11","6",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Risør videregående skole","Elektro og datateknologi","15","13","2","28","27","1","29","28","1","26","26",NA,"28","27","1","26","26",NA,"28","27","1","28","27","1","22","22",NA,"25","25",NA,"26","24","2","21","18","3","31","26","5","31","27","4"
42,"Risør videregående skole","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","1","29"
42,"Risør videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","11","3","9","6","3",NA,NA,NA,NA,NA,NA
42,"Risør videregående skole","Medier og kommunikasjon (gammel ordning)","26","9","17","28","15","13","30","16","14","27","12","15","10","4","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Risør videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","8","4","13","8","5","16","8","8","13","7","6","10","7","3","20","15","5"
42,"Risør videregående skole","Service og samferdsel","22","5","17","28","12","16","27","13","14","29","14","15","25","12","13","21","11","10","18","13","5","31","22","9","16","13","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Risør videregående skole","Teknologi- og industrifag","46","39","7","37","35","2","46","41","5","41","38","3","47","41","6","41","38","3","22","19","3","26","24","2","17","16","1","19","13","6","20","17","3","24","21","3","21","18","3","28","27","1"
