"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Sam Eyde videregående skole","Alle utdanningsprogram","882","415","467","1168","717","451","1182","698","484","1171","701","470","1194","717","477","1157","693","464","1233","731","502","1167","672","495","1232","705","527","1229","726","503","1262","725","537","1306","759","547","1336","768","568","1393","801","592"
42,"Sam Eyde videregående skole","Studieforberedende","186","91","95","215","100","115","281","139","142","303","139","164","357","184","173","400","220","180","442","233","209","449","217","232","447","200","247","437","212","225","463","212","251","490","233","257","449","212","237","416","201","215"
42,"Sam Eyde videregående skole","Idrettsfag","58","42","16","111","61","50","163","86","77","175","80","95","171","89","82","169","87","82","178","98","80","182","85","97","179","80","99","179","81","98","203","99","104","229","124","105","253","131","122","228","123","105"
42,"Sam Eyde videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56","33","23","109","64","45","151","80","71","162","82","80","158","77","81","159","86","73","163","79","84","168","72","96","169","69","100","180","75","105"
42,"Sam Eyde videregående skole","Påbygging til generell studiekompetanse","56","14","42","58","14","44","63","17","46","68","26","42","70","23","47","61","24","37","60","18","42","59","21","38","61","17","44","47","19","28","49","9","40","57","20","37",NA,NA,NA,NA,NA,NA
42,"Sam Eyde videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","31","16","15","14","6","8","24","18","6","22","9","13","15","10","5","13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Sam Eyde videregående skole","Studiespesialisering","41","19","22","32","19","13","31","18","13","38","24","14","45","29","16","48","32","16","53","37","16","46","29","17","49","26","23","52","26","26","48","25","23","36","17","19","27","12","15","8","3","5"
42,"Sam Eyde videregående skole","Yrkesfaglig","696","324","372","953","617","336","901","559","342","868","562","306","837","533","304","757","473","284","791","498","293","718","455","263","785","505","280","792","514","278","799","513","286","816","526","290","887","556","331","977","600","377"
42,"Sam Eyde videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,"214","213","1","191","184","7","201","194","7","192","179","13","187","182","5","218","212","6","175","168","7","173","170","3","183","177","6","203","182","21","202","184","18","207","188","19","214","200","14"
42,"Sam Eyde videregående skole","Design og håndverk","106","9","97","88","11","77","81","3","78","73","2","71","78","6","72","90","11","79","83","14","69","78","14","64","35","4","31","11",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Sam Eyde videregående skole","Elektro og datateknologi","72","70","2","74","72","2","68","67","1","60","59","1","61","60","1","73","69","4","63","60","3","55","53","2","59","54","5","53","49","4","57","55","2","59","55","4","75","68","7","78","67","11"
42,"Sam Eyde videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","2","26","46","2","44","58","9","49","65","9","56","66","2","64","81","2","79"
42,"Sam Eyde videregående skole","Helse- og oppvekstfag","166","14","152","167","27","140","159","13","146","152","13","139","173","21","152","161","24","137","173","20","153","187","41","146","185","33","152","182","32","150","162","27","135","160","24","136","170","22","148","200","37","163"
42,"Sam Eyde videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","7","7","18","3","15","19","1","18","18","3","15","19","4","15","27","2","25"
42,"Sam Eyde videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","28","5","57","51","6","57","48","9","57","50","7","44","39","5","59","50","9"
42,"Sam Eyde videregående skole","Medier og kommunikasjon (gammel ordning)","102","38","64","106","45","61","95","45","50","82","58","24","30","26","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Sam Eyde videregående skole","Restaurant- og matfag","99","53","46","99","57","42","97","51","46","94","45","49","89","47","42","73","36","37","79","31","48","57","28","29","72","38","34","54","31","23","55","31","24","55","29","26","77","40","37","90","40","50"
42,"Sam Eyde videregående skole","Service og samferdsel","16","15","1","38","36","2","27","26","1","30","29","1","47","42","5","38","32","6","39","36","3","30","28","2","34","31","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Sam Eyde videregående skole","Teknologi- og industrifag","135","125","10","167","156","11","183","170","13","176","162","14","167","152","15","135","119","16","136","125","11","136","123","13","152","138","14","188","169","19","188","160","28","200","172","28","229","193","36","228","202","26"
