"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Setesdal vidaregåande skule","Alle utdanningsprogram","345","179","166","369","188","181","358","170","188","311","147","164","304","152","152","280","139","141","252","119","133","266","130","136","269","133","136","264","135","129","211","94","117","223","109","114","234","118","116","231","125","106"
42,"Setesdal vidaregåande skule","Studieforberedende","233","121","112","235","123","112","245","114","131","227","106","121","225","106","119","191","91","100","160","71","89","189","95","94","181","87","94","181","89","92","156","70","86","146","77","69","156","79","77","148","87","61"
42,"Setesdal vidaregåande skule","Påbygging til generell studiekompetanse","29","14","15","30","14","16","29","11","18","30","6","24","31","10","21","28","9","19","20","5","15","21","6","15","17","3","14","22","6","16","13","2","11","7","1","6","12","3","9","14","5","9"
42,"Setesdal vidaregåande skule","Studiespesialisering","204","107","97","205","109","96","216","103","113","197","100","97","194","96","98","163","82","81","140","66","74","168","89","79","164","84","80","159","83","76","143","68","75","139","76","63","144","76","68","134","82","52"
42,"Setesdal vidaregåande skule","Yrkesfaglig","112","58","54","134","65","69","113","56","57","84","41","43","79","46","33","89","48","41","92","48","44","77","35","42","88","46","42","83","46","37","55","24","31","77","32","45","78","39","39","83","38","45"
42,"Setesdal vidaregåande skule","Bygg- og anleggsteknikk","26","24","2","29","29",NA,"23","23",NA,"17","17",NA,"21","20","1","24","23","1","21","18","3","11","11",NA,"19","19",NA,"10","10",NA,"8","8",NA,"15","15",NA,"13","12","1","11","11",NA
42,"Setesdal vidaregåande skule","Design og håndverk","9",NA,"9","14","4","10","13","5","8","10","4","6","11","4","7","12","4","8","10","5","5","13","5","8","9","3","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Setesdal vidaregåande skule","Helse- og oppvekstfag","38","7","31","52","3","49","42","1","41","29","6","23","21","3","18","28","4","24","34","7","27","35","5","30","33","5","28","30","6","24","22","3","19","35","3","32","34","4","30","33","7","26"
42,"Setesdal vidaregåande skule","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","5","10","10",NA,"10","13","3","10","8","3","5","14","2","12"
42,"Setesdal vidaregåande skule","Service og samferdsel","23","11","12","13","3","10","12","5","7","14","2","12","12","6","6","8","2","6","12","3","9","4","1","3","12","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Setesdal vidaregåande skule","Teknologi- og industrifag","16","16",NA,"26","26",NA,"23","22","1","14","12","2","14","13","1","17","15","2","15","15",NA,"14","13","1","15","12","3","28","25","3","15","13","2","14","11","3","23","20","3","25","18","7"
