"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Søgne videregående skole","Alle utdanningsprogram","192","69","123","189","90","99","156","76","80","127","49","78","109","43","66","105","33","72","94","32","62","90","24","66","86","27","59","94","25","69","97","27","70","203","81","122","264","133","131","377","198","179"
42,"Søgne videregående skole","Studieforberedende","49","13","36","56","21","35","52","24","28","49","13","36","34","14","20","19","3","16","35","11","24","35","12","23","30","10","20","37","9","28","27","11","16","41","14","27","53","30","23","125","62","63"
42,"Søgne videregående skole","Idrettsfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,"21","21",NA,"43","38","5"
42,"Søgne videregående skole","Påbygging til generell studiekompetanse","30","7","23","29","9","20","29","16","13","28","6","22","19","5","14",NA,NA,NA,"12","6","6","15","7","8","13","5","8","13","2","11","10","3","7","25","6","19","14","5","9","68","23","45"
42,"Søgne videregående skole","Studieforberedende Vg3 Naturbruk","15","2","13","21","7","14","18","3","15","16","2","14","11","5","6","16",NA,"16","17","1","16","14","1","13","10","3","7","14","2","12","5","2","3","5",NA,"5","14","2","12","14","1","13"
42,"Søgne videregående skole","Studiespesialisering","4","4",NA,"6","5","1","5","5",NA,"5","5",NA,"4","4",NA,"3","3",NA,"6","4","2","6","4","2","7","2","5","10","5","5","12","6","6","9","6","3","4","2","2",NA,NA,NA
42,"Søgne videregående skole","Yrkesfaglig","143","56","87","133","69","64","104","52","52","78","36","42","75","29","46","86","30","56","59","21","38","55","12","43","56","17","39","57","16","41","70","16","54","162","67","95","211","103","108","252","136","116"
42,"Søgne videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","15","3","31","29","2","45","43","2"
42,"Søgne videregående skole","Design og håndverk","21",NA,"21","5","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Søgne videregående skole","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44","3","41","65","6","59","68","8","60"
42,"Søgne videregående skole","Naturbruk","92","29","63","82","25","57","75","26","49","62","24","38","61","15","46","73","19","54","59","21","38","55","12","43","56","17","39","57","16","41","70","16","54","57","12","45","57","15","42","74","22","52"
42,"Søgne videregående skole","Teknologi- og industrifag","30","27","3","46","43","3","29","26","3","16","12","4","14","14",NA,"13","11","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","37","6","58","53","5","65","63","2"
