"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Tangen videregående skole","Alle utdanningsprogram","908","462","446","956","486","470","850","441","409","871","422","449","905","458","447","977","486","491","1034","519","515","965","493","472","978","532","446","1063","576","487","1149","564","585","1140","515","625","1199","540","659","1223","540","683"
42,"Tangen videregående skole","Studieforberedende","274","96","178","351","134","217","334","132","202","402","155","247","499","209","290","625","256","369","648","257","391","578","223","355","542","209","333","512","190","322","564","182","382","582","159","423","609","165","444","606","157","449"
42,"Tangen videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","7","22","70","20","50","101","23","78","90","19","71","84","9","75","108","18","90","149","24","125","174","29","145","169","26","143","174","25","149"
42,"Tangen videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","35","51","155","77","78","218","113","105","178","96","82","163","85","78","119","60","59","117","50","67","104","34","70","101","31","70","91","24","67"
42,"Tangen videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","17","40","56","24","32","60","22","38","58","23","35","59","22","37","30","19","11","28","17","11","31","15","16","29","10","19","39","20","19","12","9","3"
42,"Tangen videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","39","16","23","47","14","33","44","12","32","41","12","29","43","26","17","45","20","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Tangen videregående skole","Studiespesialisering","166","71","95","221","108","113","208","105","103","213","106","107","232","106","126","269","110","159","271","98","173","251","86","165","265","96","169","257","95","162","267","93","174","275","86","189","300","88","212","329","99","230"
42,"Tangen videregående skole","Studiespesialisering med formgivning","69","9","60","83","12","71","82","15","67","91","20","71","53","11","42","26","7","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Tangen videregående skole","Yrkesfaglig","634","366","268","605","352","253","516","309","207","469","267","202","406","249","157","352","230","122","386","262","124","387","270","117","436","323","113","551","386","165","585","382","203","558","356","202","590","375","215","617","383","234"
42,"Tangen videregående skole","Bygg- og anleggsteknikk","296","285","11","283","270","13","221","219","2","177","174","3","196","192","4","198","191","7","233","222","11","254","233","21","262","243","19","265","252","13","274","251","23","271","248","23","261","242","19","252","236","16"
42,"Tangen videregående skole","Design og håndverk","147","4","143","132","5","127","123","8","115","102","3","99","81","6","75","87","9","78","83","6","77","73","6","67","21",NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Tangen videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44","1","43","106","1","105","131","2","129","130","4","126","142","4","138","152","4","148"
42,"Tangen videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46","41","5","91","80","11","90","77","13","77","64","13","90","75","15","91","75","16"
42,"Tangen videregående skole","Medier og kommunikasjon (gammel ordning)","94","28","66","96","27","69","92","42","50","99","51","48","53","22","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Tangen videregående skole","Restaurant- og matfag","97","49","48","94","50","44","80","40","40","91","39","52","76","29","47","67","30","37","70","34","36","60","31","29","63","38","25","89","53","36","90","52","38","80","40","40","97","54","43","122","68","54"
