"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Tvedestrand videregående skole","Alle utdanningsprogram","457","194","263","445","188","257","394","160","234","378","136","242","412","150","262","417","159","258","400","162","238","372","165","207","467","198","269","477","193","284","502","209","293","492","186","306","515","195","320","487","222","265"
42,"Tvedestrand videregående skole","Studieforberedende","272","136","136","249","121","128","248","106","142","245","98","147","250","107","143","246","104","142","219","105","114","202","99","103","247","115","132","263","119","144","279","115","164","260","93","167","303","132","171","328","149","179"
42,"Tvedestrand videregående skole","Idrettsfag","65","40","25","48","25","23","51","23","28","46","19","27","45","22","23","37","18","19","41","24","17","40","25","15","57","37","20","68","40","28","79","38","41","79","35","44","80","46","34","78","50","28"
42,"Tvedestrand videregående skole","Påbygging til generell studiekompetanse","29","9","20","25","12","13","23","6","17","26","10","16","27","12","15","21","5","16","27","13","14","16","7","9","50","20","30","49","15","34","54","18","36","50","10","40","76","26","50","64","21","43"
42,"Tvedestrand videregående skole","Studieforberedende Vg3 Naturbruk","3",NA,"3","1",NA,"1","6",NA,"6","3",NA,"3",NA,NA,NA,"9","1","8","3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Tvedestrand videregående skole","Studiespesialisering","175","87","88","175","84","91","168","77","91","170","69","101","178","73","105","179","80","99","148","68","80","146","67","79","140","58","82","146","64","82","146","59","87","131","48","83","147","60","87","186","78","108"
42,"Tvedestrand videregående skole","Yrkesfaglig","185","58","127","196","67","129","146","54","92","133","38","95","162","43","119","171","55","116","181","57","124","170","66","104","220","83","137","214","74","140","223","94","129","232","93","139","212","63","149","159","73","86"
42,"Tvedestrand videregående skole","Bygg- og anleggsteknikk","22","22",NA,"28","27","1","13","12","1","14","14",NA,"14","13","1","13","12","1","15","14","1","14","13","1","42","40","2","43","40","3","64","57","7","64","57","7","48","41","7","64","53","11"
42,"Tvedestrand videregående skole","Helse- og oppvekstfag","95","14","81","100","11","89","75","14","61","71","9","62","89","15","74","97","23","74","107","22","85","101","30","71","115","25","90","124","16","108","111","18","93","112","13","99","115","6","109","50","3","47"
42,"Tvedestrand videregående skole","Naturbruk","68","22","46","68","29","39","58","28","30","48","15","33","59","15","44","61","20","41","59","21","38","55","23","32","63","18","45","47","18","29","48","19","29","56","23","33","49","16","33","45","17","28"
