"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
42,"Vennesla videregående skole","Alle utdanningsprogram","489","207","282","477","222","255","509","243","266","476","230","246","477","232","245","462","222","240","455","221","234","401","177","224","382","186","196","340","158","182","366","182","184","389","190","199","408","219","189","436","223","213"
42,"Vennesla videregående skole","Studieforberedende","226","86","140","237","98","139","244","107","137","234","103","131","261","116","145","268","119","149","255","112","143","209","87","122","189","76","113","159","70","89","152","76","76","156","67","89","149","67","82","166","65","101"
42,"Vennesla videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","8","18","47","22","25","61","26","35","37","18","19","16","7","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Vennesla videregående skole","Påbygging til generell studiekompetanse","28","6","22","28","14","14","29","15","14","29","14","15","30","14","16","31","12","19","31","11","20","29","10","19","27","8","19","27","7","20","22","7","15","29","9","20","30","8","22","30","6","24"
42,"Vennesla videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","28","10","18","33","12","21","31","12","19","27","10","17","26","12","14","25","13","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Vennesla videregående skole","Studiespesialisering","170","70","100","176","72","104","184","80","104","178","79","99","179","82","97","165","72","93","163","75","88","143","59","84","146","61","85","132","63","69","130","69","61","127","58","69","119","59","60","136","59","77"
42,"Vennesla videregående skole","Yrkesfaglig","263","121","142","240","124","116","265","136","129","242","127","115","216","116","100","194","103","91","200","109","91","192","90","102","193","110","83","181","88","93","214","106","108","233","123","110","259","152","107","270","158","112"
42,"Vennesla videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","23",NA,"44","44",NA,"44","43","1","46","44","2"
42,"Vennesla videregående skole","Elektro og datateknologi","15","15",NA,"15","14","1","15","15",NA,"15","15",NA,"15","14","1","15","15",NA,"15","14","1","15","14","1","15","15",NA,"15","14","1","13","12","1","15","13","2","30","29","1","30","27","3"
42,"Vennesla videregående skole","Helse- og oppvekstfag","74","2","72","72","7","65","83","4","79","73","4","69","85","10","75","85","11","74","94","14","80","107","15","92","89","16","73","88","15","73","94","10","84","95","11","84","89","9","80","96","9","87"
42,"Vennesla videregående skole","Medier og kommunikasjon (gammel ordning)","65","27","38","55","22","33","61","29","32","58","26","32","24","13","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Vennesla videregående skole","Restaurant- og matfag","2",NA,"2","2",NA,"2","2",NA,"2","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Vennesla videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","10","6","25","16","9","26","13","13","23","6","17","25","14","11","24","11","13"
42,"Vennesla videregående skole","Service og samferdsel","56","33","23","45","31","14","48","33","15","41","30","11","40","31","9","42","29","13","45","37","8","30","22","8","24","21","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Vennesla videregående skole","Teknologi- og industrifag","51","44","7","51","50","1","56","55","1","54","52","2","52","48","4","52","48","4","46","44","2","40","39","1","49","48","1","53","43","10","58","48","10","56","49","7","71","57","14","74","67","7"
