"fylkesnr","skole","linje","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Amalie Skram videregående skole","Alle utdanningsprogram","1021","403","618","1016","421","595","1007","431","576","994","447","547","1020","452","568","1028","461","567","1040","464","576","1020","489","531","1036","475","561","1018","429","589","1009","407","602","994","437","557"
46,"Amalie Skram videregående skole","Studieforberedende","867","333","534","857","328","529","857","340","517","843","350","493","871","362","509","880","367","513","851","342","509","826","361","465","834","349","485","823","324","499","824","305","519","810","324","486"
46,"Amalie Skram videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,"29","12","17","49","22","27","85","38","47","88","30","58","87","34","53","85","36","49","86","34","52","87","20","67","82","17","65","80","22","58"
46,"Amalie Skram videregående skole","Påbygging til generell studiekompetanse","29","7","22","32","13","19","31","10","21","29","10","19","28","12","16","30","9","21","30","8","22","33","6","27","31","15","16","28","10","18","30","10","20","29","8","21"
46,"Amalie Skram videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","15","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Amalie Skram videregående skole","Studiespesialisering","823","319","504","825","315","510","797","318","479","765","318","447","758","312","446","762","328","434","734","300","434","708","319","389","717","300","417","708","294","414","712","278","434","701","294","407"
46,"Amalie Skram videregående skole","Yrkesfaglig","154","70","84","159","93","66","150","91","59","151","97","54","149","90","59","148","94","54","189","122","67","194","128","66","202","126","76","195","105","90","185","102","83","184","113","71"
46,"Amalie Skram videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","27","3","78","63","15","104","79","25","93","69","24","84","66","18","84","72","12"
46,"Amalie Skram videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","49","35","116","65","51","98","47","51","102","36","66","101","36","65","100","41","59"
46,"Amalie Skram videregående skole","Service og samferdsel","154","70","84","159","93","66","150","91","59","151","97","54","149","90","59","148","94","54","75","46","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
