"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Arna vidaregåande skule","Alle utdanningsprogram","127","80","47","111","68","43","111","69","42","112","65","47","282","169","113","298","188","110","284","183","101","256","158","98","257","164","93","234","138","96","240","126","114","234","149","85","281","182","99","247","169","78"
46,"Arna vidaregåande skule","Studieforberedende",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"145","91","54","196","133","63","177","124","53","167","117","50","156","104","52","145","92","53","138","72","66","134","73","61","136","72","64","114","66","48"
46,"Arna vidaregåande skule","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","24","4","52","44","8","83","66","17","75","62","13","65","50","15","61","47","14","52","33","19","46","29","17","47","27","20","27","15","12"
46,"Arna vidaregåande skule","Studieforberedende Vg3 Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","18","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Arna vidaregåande skule","Studiespesialisering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","67","50","120","71","49","94","58","36","92","55","37","91","54","37","84","45","39","86","39","47","88","44","44","89","45","44","87","51","36"
46,"Arna vidaregåande skule","Yrkesfaglig","127","80","47","111","68","43","111","69","42","112","65","47","137","78","59","102","55","47","107","59","48","89","41","48","101","60","41","89","46","43","102","54","48","100","76","24","145","110","35","133","103","30"
46,"Arna vidaregåande skule","Bygg- og anleggsteknikk","37","34","3","25","25",NA,"29","26","3","41","37","4","44","43","1","43","42","1","46","44","2","29","27","2","44","43","1","41","38","3","50","47","3","48","43","5","47","44","3","53","49","4"
46,"Arna vidaregåande skule","Helse- og oppvekstfag","44","5","39","41","5","36","37","7","30","42","5","37","60","10","50","59","13","46","61","15","46","60","14","46","57","17","40","48","8","40","52","7","45","22","6","16","39","12","27","27","4","23"
46,"Arna vidaregåande skule","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","27","3","59","54","5","53","50","3"
46,"Arna vidaregåande skule","Medier og kommunikasjon (gammel ordning)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","25","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Arna vidaregåande skule","Teknologi- og industrifag","46","41","5","45","38","7","45","36","9","29","23","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
