"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Austrheim vidaregåande skule","Alle utdanningsprogram","259","137","122","257","156","101","259","143","116","251","149","102","258","140","118","231","139","92","221","131","90","186","102","84","189","102","87","171","88","83","193","110","83","208","118","90","207","120","87","278","170","108"
46,"Austrheim vidaregåande skule","Studieforberedende","90","30","60","88","37","51","95","36","59","94","42","52","112","45","67","89","35","54","91","37","54","77","31","46","87","31","56","79","32","47","78","26","52","73","25","48","45","16","29","76","32","44"
46,"Austrheim vidaregåande skule","Påbygging til generell studiekompetanse","28","8","20","26","9","17","27","7","20","26","15","11","31","10","21","16","5","11","23","7","16","23","9","14","28","10","18","24","13","11","17","6","11","15","3","12",NA,NA,NA,"15","6","9"
46,"Austrheim vidaregåande skule","Studiespesialisering","62","22","40","62","28","34","68","29","39","68","27","41","81","35","46","73","30","43","68","30","38","54","22","32","59","21","38","55","19","36","61","20","41","58","22","36","45","16","29","61","26","35"
46,"Austrheim vidaregåande skule","Yrkesfaglig","169","107","62","169","119","50","164","107","57","157","107","50","146","95","51","142","104","38","130","94","36","109","71","38","102","71","31","92","56","36","115","84","31","135","93","42","162","104","58","202","138","64"
46,"Austrheim vidaregåande skule","Bygg- og anleggsteknikk","13","12","1","19","19",NA,"23","20","3","21","20","1","23","21","2","30","28","2","44","42","2","31","28","3","21","20","1","25","19","6","22","19","3","14","12","2","22","21","1","42","38","4"
46,"Austrheim vidaregåande skule","Elektro og datateknologi","32","23","9","42","36","6","42","37","5","41","37","4","24","22","2","30","29","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Austrheim vidaregåande skule","Helse- og oppvekstfag","30","2","28","30","4","26","32","6","26","33","4","29","32","7","25","32","4","28","31","6","25","33","10","23","29","7","22","19","3","16","14","4","10","23","1","22","27","1","26","26",NA,"26"
46,"Austrheim vidaregåande skule","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","11","4","27","20","7","27","22","5","26","24","2"
46,"Austrheim vidaregåande skule","Restaurant- og matfag","18","9","9","5","2","3","4","1","3","13","9","4","22","10","12","11","6","5","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Austrheim vidaregåande skule","Teknologi- og industrifag","76","61","15","73","58","15","63","43","20","49","37","12","45","35","10","39","37","2","54","46","8","45","33","12","52","44","8","48","34","14","64","50","14","71","60","11","86","60","26","108","76","32"
