"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Bømlo vidaregåande skule","Alle utdanningsprogram","250","84","166","285","99","186","288","111","177","280","103","177","307","112","195","268","85","183","273","96","177","237","68","169","226","73","153","177","48","129","343","190","153","370","203","167","385","219","166","408","234","174"
46,"Bømlo vidaregåande skule","Studieforberedende","169","63","106","199","78","121","196","83","113","193","75","118","215","89","126","178","61","117","188","71","117","168","53","115","152","56","96","115","36","79","108","37","71","110","34","76","114","36","78","113","31","82"
46,"Bømlo vidaregåande skule","Påbygging til generell studiekompetanse","27","11","16","31","15","16","29","11","18","30","12","18","52","29","23","29","15","14","31","14","17","32","10","22","25","7","18","25","7","18","18","1","17","28","3","25","28","4","24","30","5","25"
46,"Bømlo vidaregåande skule","Studiespesialisering","142","52","90","168","63","105","167","72","95","163","63","100","163","60","103","149","46","103","157","57","100","136","43","93","127","49","78","90","29","61","90","36","54","82","31","51","86","32","54","83","26","57"
46,"Bømlo vidaregåande skule","Yrkesfaglig","81","21","60","86","21","65","92","28","64","87","28","59","92","23","69","90","24","66","85","25","60","69","15","54","74","17","57","62","12","50","235","153","82","260","169","91","271","183","88","295","203","92"
46,"Bømlo vidaregåande skule","Elektro og datateknologi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","59","11","76","64","12","88","77","11","97","87","10"
46,"Bømlo vidaregåande skule","Helse- og oppvekstfag","44","5","39","44","2","42","50","7","43","58","9","49","61","4","57","60","7","53","63","10","53","55","4","51","60","6","54","62","12","50","64","8","56","64","6","58","58","6","52","72","10","62"
46,"Bømlo vidaregåande skule","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","11","4","30","20","10","29","19","10","22","18","4"
46,"Bømlo vidaregåande skule","Service og samferdsel","37","16","21","42","19","23","42","21","21","29","19","10","31","19","12","30","17","13","22","15","7","14","11","3","14","11","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Bømlo vidaregåande skule","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","75","11","90","79","11","96","81","15","104","88","16"
