"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Eid vidaregåande skule","Alle utdanningsprogram","375","197","178","374","179","195","382","192","190","371","191","180","379","193","186","333","171","162","316","178","138","326","171","155","356","178","178","365","176","189","327","166","161","300","162","138","291","148","143","286","147","139"
46,"Eid vidaregåande skule","Studieforberedende","205","79","126","204","60","144","226","78","148","205","63","142","211","75","136","176","53","123","162","57","105","158","46","112","196","63","133","201","56","145","173","57","116","146","53","93","153","46","107","128","40","88"
46,"Eid vidaregåande skule","Idrettsfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Eid vidaregåande skule","Påbygging til generell studiekompetanse","33","11","22","32","8","24","29","16","13","28","8","20","29","8","21","27","9","18","26","8","18","30","6","24","47","14","33","60","16","44","30","10","20","26","14","12","31","5","26","30","9","21"
46,"Eid vidaregåande skule","Studiespesialisering","172","68","104","172","52","120","197","62","135","177","55","122","181","66","115","149","44","105","136","49","87","128","40","88","149","49","100","141","40","101","143","47","96","120","39","81","122","41","81","98","31","67"
46,"Eid vidaregåande skule","Yrkesfaglig","170","118","52","170","119","51","156","114","42","166","128","38","168","118","50","157","118","39","154","121","33","168","125","43","160","115","45","164","120","44","154","109","45","154","109","45","138","102","36","158","107","51"
46,"Eid vidaregåande skule","Design og håndverk","30","1","29","27","2","25","35","2","33","30","1","29","37","5","32","31","5","26","27","3","24","36","6","30","20","3","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Eid vidaregåande skule","Elektro og datateknologi","69","65","4","61","56","5","64","60","4","70","63","7","74","65","9","86","77","9","84","76","8","81","74","7","87","81","6","88","80","8","88","82","6","77","71","6","80","73","7","70","67","3"
46,"Eid vidaregåande skule","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,"13","25","2","23","31","1","30","36","2","34","30","1","29","30",NA,"30"
46,"Eid vidaregåande skule","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","2","13"
46,"Eid vidaregåande skule","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","1","4","9","1","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Eid vidaregåande skule","Service og samferdsel","23","11","12","24","8","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Eid vidaregåande skule","Teknologi- og industrifag","48","41","7","58","53","5","57","52","5","66","64","2","56","48","8","40","36","4","43","42","1","51","45","6","35","30","5","42","37","5","35","26","9","41","36","5","28","28",NA,"43","38","5"
