"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter"
46,"Etne vidaregåande skule (Nedlagt)","Alle utdanningsprogram","84","36","48","73","33","40","81","44","37","81","50","31","83","46","37"
46,"Etne vidaregåande skule (Nedlagt)","Studieforberedende","28","6","22","27","5","22","39","14","25","42","23","19","52","24","28"
46,"Etne vidaregåande skule (Nedlagt)","Idrettsfag","7","5","2","7","5","2","21","12","9","23","13","10","34","14","20"
46,"Etne vidaregåande skule (Nedlagt)","IDIDR2 - Idrettsfag vg2",NA,NA,NA,"7","5","2",NA,NA,NA,"12","6","6","8","5","3"
46,"Etne vidaregåande skule (Nedlagt)","IDIDR3 - Idrettsfag vg3",NA,NA,NA,NA,NA,NA,"7","5","2",NA,NA,NA,"10","5","5"
46,"Etne vidaregåande skule (Nedlagt)","IDRET1 - Idrettsfag vg1","7","5","2",NA,NA,NA,"14","7","7","11","7","4","16","4","12"
46,"Etne vidaregåande skule (Nedlagt)","Påbygging til generell studiekompetanse","21","1","20","20",NA,"20","18","2","16","19","10","9","18","10","8"
46,"Etne vidaregåande skule (Nedlagt)","Yrkesfaglig","56","30","26","46","28","18","42","30","12","39","27","12","31","22","9"
46,"Etne vidaregåande skule (Nedlagt)","Design og håndverk","17","2","15","9",NA,"9","6",NA,"6","10","2","8","9",NA,"9"
46,"Etne vidaregåande skule (Nedlagt)","Medier og kommunikasjon (gammel ordning)","14","4","10","16","8","8","11","8","3","5","3","2",NA,NA,NA
46,"Etne vidaregåande skule (Nedlagt)","Teknologi- og industrifag","25","24","1","21","20","1","25","22","3","24","22","2","22","22",NA
