"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Firda vidaregåande skule","Alle utdanningsprogram","379","148","231","408","152","256","375","134","241","325","117","208","301","114","187","332","125","207","329","124","205","321","112","209","338","112","226","330","113","217","319","113","206","262","108","154","265","121","144","267","111","156"
46,"Firda vidaregåande skule","Studieforberedende","335","140","195","339","145","194","362","133","229","324","117","207","301","114","187","331","124","207","329","124","205","321","112","209","338","112","226","330","113","217","318","113","205","262","108","154","265","121","144","267","111","156"
46,"Firda vidaregåande skule","Idrettsfag","88","52","36","91","53","38","92","49","43","90","43","47","89","48","41","109","55","54","112","54","58","110","48","62","99","45","54","104","45","59","98","45","53","77","40","37","77","48","29","76","47","29"
46,"Firda vidaregåande skule","Musikk, dans og drama","135","38","97","139","40","99","144","41","103","124","36","88","124","33","91","130","27","103","126","32","94","122","29","93","127","32","95","134","33","101","131","33","98","113","36","77","116","43","73","116","40","76"
46,"Firda vidaregåande skule","Påbygging til generell studiekompetanse","6","5","1","5","2","3","30","8","22","23","7","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Firda vidaregåande skule","Studieforberedende Vg3 Medier og kommunikasjon","10","3","7","11","5","6",NA,NA,NA,"6","1","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Firda vidaregåande skule","Studiespesialisering","96","42","54","93","45","48","96","35","61","81","30","51","88","33","55","92","42","50","91","38","53","89","35","54","112","35","77","92","35","57","89","35","54","72","32","40","72","30","42","75","24","51"
46,"Firda vidaregåande skule","Yrkesfaglig","44","8","36","69","7","62","13","1","12","1",NA,"1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Firda vidaregåande skule","Design og håndverk","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Firda vidaregåande skule","Helse- og oppvekstfag","17",NA,"17","40","3","37",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Firda vidaregåande skule","Medier og kommunikasjon (gammel ordning)","26","8","18","29","4","25","13","1","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
