"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Flora vidaregåande skule","Alle utdanningsprogram","546","301","245","554","305","249","534","295","239","554","293","261","542","284","258","496","259","237","529","279","250","523","267","256","487","263","224","472","232","240","471","202","269","433","199","234","437","207","230","434","208","226"
46,"Flora vidaregåande skule","Studieforberedende","318","151","167","284","140","144","313","139","174","311","130","181","314","142","172","293","129","164","286","130","156","282","122","160","279","125","154","271","114","157","255","94","161","238","92","146","240","93","147","233","82","151"
46,"Flora vidaregåande skule","Idrettsfag","77","47","30","81","51","30","78","47","31","81","47","34","81","51","30","86","50","36","82","47","35","84","45","39","75","43","32","77","47","30","56","27","29","63","35","28","67","40","27","77","46","31"
46,"Flora vidaregåande skule","Påbygging til generell studiekompetanse","32","13","19","30","18","12","31","4","27","30","11","19","29","15","14","31","15","16","30","9","21","30","10","20","30","13","17","31","11","20","30","8","22","31","11","20","30","8","22","22","7","15"
46,"Flora vidaregåande skule","Studiespesialisering","209","91","118","173","71","102","204","88","116","200","72","128","204","76","128","176","64","112","174","74","100","168","67","101","174","69","105","163","56","107","169","59","110","144","46","98","143","45","98","134","29","105"
46,"Flora vidaregåande skule","Yrkesfaglig","228","150","78","270","165","105","221","156","65","243","163","80","228","142","86","203","130","73","243","149","94","241","145","96","208","138","70","201","118","83","216","108","108","195","107","88","197","114","83","201","126","75"
46,"Flora vidaregåande skule","Bygg- og anleggsteknikk","51","48","3","42","40","2","37","35","2","43","42","1","38","37","1","40","37","3","45","39","6","53","48","5","35","33","2","42","32","10","45","30","15","39","31","8","39","31","8","45","32","13"
46,"Flora vidaregåande skule","Design og håndverk",NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Flora vidaregåande skule","Elektro og datateknologi","37","34","3","37","34","3","48","45","3","48","42","6","37","33","4","35","33","2","49","44","5","39","37","2","44","44",NA,"36","34","2","43","37","6","36","32","4","36","32","4","33","32","1"
46,"Flora vidaregåande skule","Helse- og oppvekstfag","59","2","57","81","5","76","60","7","53","73","12","61","73","11","62","63","6","57","76","6","70","78","10","68","62","8","54","64","10","54","69","7","62","62","6","56","61","7","54","56","6","50"
46,"Flora vidaregåande skule","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Flora vidaregåande skule","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","9","6","23","10","13","24","5","19","22","8","14","9","2","7","11","4","7"
46,"Flora vidaregåande skule","Service og samferdsel","30","18","12","49","28","21","25","20","5","33","24","9","45","32","13","29","20","9","27","15","12","39","21","18","10","4","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Flora vidaregåande skule","Teknologi- og industrifag","51","48","3","61","58","3","50","48","2","46","43","3","35","29","6","36","34","2","45","45",NA,"32","29","3","42","40","2","36","32","4","35","29","6","36","30","6","52","42","10","56","52","4"
