"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Fusa vidaregåande skule","Alle utdanningsprogram","214","93","121","190","92","98","201","96","105","202","87","115","236","108","128","251","117","134","256","127","129","266","121","145","273","130","143","260","120","140","238","124","114","245","130","115","219","113","106","213","107","106"
46,"Fusa vidaregåande skule","Studieforberedende","71","17","54","49","8","41","59","10","49","58","9","49","61","10","51","67","20","47","78","30","48","80","34","46","75","32","43","75","36","39","73","34","39","64","27","37","53","12","41","36","4","32"
46,"Fusa vidaregåande skule","Idrettsfag","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Fusa vidaregåande skule","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","9","18","30","8","22","40","13","27","45","14","31","45","16","29","52","26","26","51","21","30","38","13","25","44","11","33","26","3","23"
46,"Fusa vidaregåande skule","Påbygging til generell studiekompetanse","4","1","3","4",NA,"4","4","1","3","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"1","1",NA,"1",NA,"1",NA,NA,NA
46,"Fusa vidaregåande skule","Studiespesialisering","3","2","1",NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,"33","12","21","38","17","21","34","19","15","30","16","14","22","9","13","22","13","9","25","13","12","8","1","7","10","1","9"
46,"Fusa vidaregåande skule","Studiespesialisering med formgivning","63","14","49","45","8","37","55","9","46","54","6","48","34","1","33","4",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Fusa vidaregåande skule","Yrkesfaglig","143","76","67","141","84","57","142","86","56","144","78","66","175","98","77","184","97","87","178","97","81","186","87","99","198","98","100","185","84","101","165","90","75","181","103","78","166","101","65","177","103","74"
46,"Fusa vidaregåande skule","Helse- og oppvekstfag","35","4","31","23","4","19","32","5","27","41","4","37","43","5","38","46","4","42","50","7","43","63","8","55","59","5","54","55","3","52","37","5","32","39","4","35","24","2","22","35","3","32"
46,"Fusa vidaregåande skule","Naturbruk","25","16","9","29","22","7","22","18","4","26","19","7","58","46","12","62","45","17","55","42","13","55","38","17","65","47","18","55","34","21","54","36","18","52","37","15","57","43","14","55","42","13"
46,"Fusa vidaregåande skule","Restaurant- og matfag","24","10","14","29","13","16","27","15","12","20","10","10","23","8","15","25","11","14","23","9","14","25","9","16","29","11","18","31","12","19","32","14","18","25","8","17","20","4","16","16","7","9"
46,"Fusa vidaregåande skule","Teknologi- og industrifag","59","46","13","60","45","15","61","48","13","57","45","12","51","39","12","51","37","14","50","39","11","43","32","11","45","35","10","44","35","9","42","35","7","65","54","11","65","52","13","71","51","20"
