"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Førde vidaregåande skule","Alle utdanningsprogram","338","240","98","341","227","114","487","274","213","455","264","191","495","302","193","475","303","172","487","293","194","480","277","203","506","307","199","434","236","198","432","236","196","946","447","499","951","462","489","933","445","488"
46,"Førde vidaregåande skule","Studieforberedende",NA,NA,NA,NA,NA,NA,"9","1","8","12","2","10","26","6","20","7","2","5","10","5","5","19","3","16","5","2","3","12","1","11","38","13","25","526","197","329","487","190","297","481","185","296"
46,"Førde vidaregåande skule","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","3","32","39","4","35","41","7","34"
46,"Førde vidaregåande skule","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","16","18","32","19","13","36","19","17"
46,"Førde vidaregåande skule","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","6","12",NA,NA,NA,"2","1","1",NA,NA,NA,"1","1",NA,"2",NA,"2","30","13","17","63","12","51","57","20","37","50","7","43"
46,"Førde vidaregåande skule","Studieforberedende Vg3 Naturbruk",NA,NA,NA,NA,NA,NA,"9","1","8","12","2","10","8",NA,"8","7","2","5","8","4","4","19","3","16","4","1","3","10","1","9","8",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Førde vidaregåande skule","Studiespesialisering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"394","166","228","359","147","212","354","152","202"
46,"Førde vidaregåande skule","Yrkesfaglig","338","240","98","341","227","114","478","273","205","443","262","181","469","296","173","468","301","167","477","288","189","461","274","187","501","305","196","422","235","187","394","223","171","420","250","170","464","272","192","452","260","192"
46,"Førde vidaregåande skule","Bygg- og anleggsteknikk","87","79","8","79","73","6","81","81",NA,"77","76","1","109","105","4","108","103","5","108","105","3","96","90","6","118","111","7","102","91","11","89","77","12","98","78","20","113","98","15","103","90","13"
46,"Førde vidaregåande skule","Elektro og datateknologi","60","57","3","58","56","2","48","46","2","49","47","2","56","56",NA,"56","55","1","45","43","2","48","44","4","45","41","4","48","43","5","45","40","5","52","51","1","56","52","4","59","55","4"
46,"Førde vidaregåande skule","Helse- og oppvekstfag","57","5","52","72","5","67","101","6","95","95","7","88","101","13","88","97","19","78","109","18","91","96","15","81","101","14","87","104","8","96","103","13","90","102","9","93","127","7","120","117","4","113"
46,"Førde vidaregåande skule","Naturbruk",NA,NA,NA,NA,NA,NA,"79","34","45","80","37","43","84","42","42","91","39","52","102","40","62","94","41","53","95","40","55","47","18","29","35","11","24","42","18","24","33","17","16","42","17","25"
46,"Førde vidaregåande skule","Restaurant- og matfag","49","23","26","46","16","30","49","19","30","39","13","26","39","14","25","31","18","13","30","13","17","36","18","18","38","20","18","24","9","15","22","12","10","22","12","10","22","10","12","17","10","7"
46,"Førde vidaregåande skule","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","8","7","28","8","20","28","9","19","18","10","8","29","11","18","27","6","21"
46,"Førde vidaregåande skule","Service og samferdsel","13","12","1","15","11","4","38","14","24","33","17","16","19","10","9","34","22","12","32","21","11","28","13","15","23","10","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Førde vidaregåande skule","Teknologi- og industrifag","72","64","8","71","66","5","82","73","9","70","65","5","61","56","5","51","45","6","51","48","3","63","53","10","66","61","5","69","58","11","72","61","11","86","72","14","84","77","7","87","78","9"
