"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter"
46,"Hafstad videregående skule","Alle utdanningsprogram","519","199","320","466","188","278","514","197","317","501","204","297","500","180","320","555","222","333","505","197","308","483","195","288","506","214","292","484","210","274","479","216","263"
46,"Hafstad videregående skule","Studieforberedende","490","189","301","439","182","257","485","188","297","473","192","281","488","173","315","555","222","333","505","197","308","483","195","288","506","214","292","484","210","274","479","216","263"
46,"Hafstad videregående skule","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","1","20","39","3","36","54","5","49","42","2","40","43","5","38","34","6","28","30","4","26"
46,"Hafstad videregående skule","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","14","11","47","28","19","56","30","26","49","25","24","40","21","19","33","18","15","27","16","11"
46,"Hafstad videregående skule","Påbygging til generell studiekompetanse","110","36","74","30","9","21","30","7","23","39","12","27","59","16","43","99","42","57","32","13","19","32","9","23","61","22","39","31","5","26","32","13","19"
46,"Hafstad videregående skule","Studiespesialisering","380","153","227","409","173","236","402","175","227","368","174","194","341","139","202","352","147","205","363","149","214","360","159","201","362","166","196","386","181","205","390","183","207"
46,"Hafstad videregående skule","Studiespesialisering med formgivning",NA,NA,NA,NA,NA,NA,"53","6","47","66","6","60","42","3","39","18","2","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Hafstad videregående skule","Yrkesfaglig","29","10","19","27","6","21","29","9","20","28","12","16","12","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Hafstad videregående skule","Medier og kommunikasjon (gammel ordning)",NA,NA,NA,NA,NA,NA,"29","9","20","28","12","16","12","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Hafstad videregående skule","Service og samferdsel","29","10","19","27","6","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
