"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Knarvik vidaregåande skule","Alle utdanningsprogram","944","474","470","917","465","452","935","482","453","916","462","454","946","484","462","871","432","439","866","456","410","853","459","394","784","405","379","767","397","370","771","401","370","753","402","351","751","425","326","734","406","328"
46,"Knarvik vidaregåande skule","Studieforberedende","372","118","254","365","134","231","368","140","228","358","128","230","386","134","252","350","118","232","311","128","183","290","126","164","273","116","157","271","111","160","267","112","155","272","112","160","281","125","156","251","102","149"
46,"Knarvik vidaregåande skule","Påbygging til generell studiekompetanse","31","9","22","32","9","23","32","11","21","30","13","17","29","10","19","37","14","23","32","8","24","31","5","26","30","9","21","34","9","25","27","8","19","28","10","18","29","11","18","33","6","27"
46,"Knarvik vidaregåande skule","Studiespesialisering","296","106","190","309","121","188","308","127","181","305","114","191","336","123","213","305","103","202","279","120","159","259","121","138","243","107","136","237","102","135","240","104","136","244","102","142","252","114","138","218","96","122"
46,"Knarvik vidaregåande skule","Studiespesialisering med formgivning","45","3","42","24","4","20","28","2","26","23","1","22","21","1","20","8","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Knarvik vidaregåande skule","Yrkesfaglig","572","356","216","552","331","221","567","342","225","558","334","224","560","350","210","521","314","207","555","328","227","563","333","230","511","289","222","496","286","210","504","289","215","481","290","191","470","300","170","483","304","179"
46,"Knarvik vidaregåande skule","Bygg- og anleggsteknikk","90","88","2","84","80","4","86","80","6","79","76","3","84","77","7","88","78","10","93","84","9","104","91","13","96","86","10","83","71","12","88","73","15","82","73","9","81","74","7","86","77","9"
46,"Knarvik vidaregåande skule","Design og håndverk","49","8","41","37","2","35","45","7","38","48","9","39","33","9","24","26","13","13","23","8","15","24","9","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Knarvik vidaregåande skule","Elektro og datateknologi","86","81","5","72","68","4","92","81","11","94","82","12","90","82","8","88","70","18","86","74","12","71","63","8","59","48","11","59","52","7","59","52","7","64","53","11","66","60","6","70","61","9"
46,"Knarvik vidaregåande skule","Helse- og oppvekstfag","102","9","93","99","9","90","97","9","88","98","7","91","116","12","104","119","14","105","120","12","108","129","15","114","145","26","119","154","33","121","158","33","125","132","29","103","122","36","86","144","39","105"
46,"Knarvik vidaregåande skule","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","9","14","15","3","12","14","4","10","13","4","9","14","2","12",NA,NA,NA
46,"Knarvik vidaregåande skule","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","4","3","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Knarvik vidaregåande skule","Service og samferdsel","68","37","31","78","38","40","72","38","34","73","39","34","80","42","38","80","42","38","85","44","41","70","39","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Knarvik vidaregåande skule","Teknologi- og industrifag","177","133","44","182","134","48","175","127","48","166","121","45","157","128","29","120","97","23","148","106","42","165","116","49","181","116","65","182","125","57","185","127","58","190","131","59","187","128","59","183","127","56"
