"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Kvinnherad vidaregåande skule","Alle utdanningsprogram","388","197","191","399","189","210","415","198","217","400","196","204","392","204","188","383","182","201","402","183","219","378","177","201","375","178","197","363","178","185","356","173","183","342","154","188","377","175","202","380","168","212"
46,"Kvinnherad vidaregåande skule","Studieforberedende","186","70","116","200","74","126","225","94","131","214","92","122","218","97","121","218","87","131","226","82","144","198","57","141","206","67","139","178","61","117","195","76","119","177","62","115","175","68","107","166","48","118"
46,"Kvinnherad vidaregåande skule","Påbygging til generell studiekompetanse","30","12","18","31","7","24","57","18","39","47","16","31","52","22","30","53","22","31","59","20","39","53","16","37","48","16","32","25","11","14","40","15","25","26","7","19","31","15","16","37","8","29"
46,"Kvinnherad vidaregåande skule","Studiespesialisering","156","58","98","169","67","102","168","76","92","167","76","91","166","75","91","165","65","100","167","62","105","145","41","104","158","51","107","153","50","103","155","61","94","151","55","96","144","53","91","129","40","89"
46,"Kvinnherad vidaregåande skule","Yrkesfaglig","202","127","75","199","115","84","190","104","86","186","104","82","174","107","67","165","95","70","176","101","75","180","120","60","169","111","58","185","117","68","161","97","64","165","92","73","202","107","95","214","120","94"
46,"Kvinnherad vidaregåande skule","Bygg- og anleggsteknikk","36","36",NA,"32","31","1","25","23","2","24","24",NA,"29","28","1","29","27","2","29","28","1","40","37","3","25","25",NA,"29","27","2","22","16","6","24","20","4","25","23","2","22","19","3"
46,"Kvinnherad vidaregåande skule","Elektro og datateknologi","24","21","3","24","20","4","21","19","2","24","21","3","24","22","2","26","23","3","27","25","2","23","20","3","25","24","1","29","27","2","28","28",NA,"25","20","5","28","21","7","30","27","3"
46,"Kvinnherad vidaregåande skule","Helse- og oppvekstfag","58","4","54","62","8","54","68","5","63","68","4","64","60","5","55","59","5","54","62","4","58","46","4","42","49","7","42","53","8","45","50","4","46","53","3","50","76","5","71","66","9","57"
46,"Kvinnherad vidaregåande skule","Restaurant- og matfag","21","14","7","18","8","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Kvinnherad vidaregåande skule","Service og samferdsel","19","10","9","24","10","14","26","14","12","27","18","9","19","12","7","16","9","7","22","12","10","17","12","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Kvinnherad vidaregåande skule","Teknologi- og industrifag","44","42","2","39","38","1","50","43","7","43","37","6","42","40","2","35","31","4","36","32","4","54","47","7","70","55","15","74","55","19","61","49","12","63","49","14","73","58","15","96","65","31"
