"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Laksevåg og Bergen Maritime videregående skole","Alle utdanningsprogram","730","433","297","737","492","245","699","477","222","719","496","223","720","491","229","643","464","179","379","316","63","391","308","83","394","340","54","407","358","49","415","364","51","399","336","63","473","384","89","464","386","78"
46,"Laksevåg og Bergen Maritime videregående skole","Studieforberedende","346","164","182","347","188","159","343","191","152","377","221","156","433","245","188","380","218","162","102","60","42","108","52","56","12","11","1","12","11","1","13","13",NA,"10","9","1","13","13",NA,"14","11","3"
46,"Laksevåg og Bergen Maritime videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","17","19","57","38","19","9","6","3","8","7","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Laksevåg og Bergen Maritime videregående skole","Påbygging til generell studiekompetanse","86","37","49","82","36","46","77","36","41","109","60","49","124","77","47","102","55","47","88","52","36","96","42","54","12","11","1","12","11","1","13","13",NA,"10","9","1","13","13",NA,"14","11","3"
46,"Laksevåg og Bergen Maritime videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","16","7","9","26","11","15","20","12","8","16","9","7","11","6","5","8","6","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Laksevåg og Bergen Maritime videregående skole","Studiespesialisering","244","120","124","239","141","98","246","143","103","252","152","100","262","145","117","213","119","94","5","2","3","4","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Laksevåg og Bergen Maritime videregående skole","Yrkesfaglig","384","269","115","390","304","86","356","286","70","342","275","67","287","246","41","263","246","17","277","256","21","283","256","27","382","329","53","395","347","48","402","351","51","389","327","62","460","371","89","450","375","75"
46,"Laksevåg og Bergen Maritime videregående skole","Bygg- og anleggsteknikk","98","93","5","112","106","6","85","84","1","99","95","4","104","100","4","114","108","6","113","109","4","106","101","5","83","78","5","75","69","6","86","75","11","76","69","7","86","79","7","78","71","7"
46,"Laksevåg og Bergen Maritime videregående skole","Design og håndverk","1",NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,"2",NA,"2","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Laksevåg og Bergen Maritime videregående skole","Elektro og datateknologi","40","36","4","40","38","2","40","37","3","54","46","8","67","56","11","69","66","3","70","67","3","73","69","4","112","109","3","112","108","4","113","102","11","115","98","17","120","99","21","119","101","18"
