"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Metis videregående","Alle utdanningsprogram","404","156","248","464","192","272","497","223","274","563","253","310","587","249","338","583","253","330","587","247","340","584","259","325","584","268","316","579","250","329","573","216","357","566","221","345","588","219","369","570","210","360"
46,"Metis videregående","Studieforberedende","256","100","156","307","141","166","355","169","186","422","197","225","493","213","280","518","232","286","523","226","297","522","229","293","524","233","291","526","221","305","511","186","325","501","198","303","523","200","323","506","194","312"
46,"Metis videregående","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","22","35","83","39","44","105","48","57","103","57","46","102","49","53","105","43","62","88","26","62","84","26","58","100","33","67","88","24","64"
46,"Metis videregående","Påbygging til generell studiekompetanse","59","25","34","60","23","37","60","22","38","48","23","25","61","24","37","56","16","40","60","21","39","59","18","41","62","29","33","61","35","26","62","19","43","58","28","30","61","22","39","57","34","23"
46,"Metis videregående","Studieforberedende Vg3 Medier og kommunikasjon","19","8","11","12","7","5","17","7","10","28","5","23","18","9","9","22","10","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Metis videregående","Studiespesialisering","178","67","111","235","111","124","278","140","138","346","169","177","357","158","199","357","167","190","358","157","201","360","154","206","360","155","205","360","143","217","361","141","220","359","144","215","362","145","217","361","136","225"
46,"Metis videregående","Yrkesfaglig","148","56","92","157","51","106","142","54","88","141","56","85","94","36","58","65","21","44","64","21","43","62","30","32","60","35","25","53","29","24","62","30","32","65","23","42","65","19","46","64","16","48"
46,"Metis videregående","Medier og kommunikasjon (gammel ordning)","86","27","59","93","22","71","84","26","58","75","31","44","29","12","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Metis videregående","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","13","13","53","29","24","62","30","32","65","23","42","65","19","46","64","16","48"
46,"Metis videregående","Service og samferdsel","62","29","33","64","29","35","58","28","30","66","25","41","65","24","41","65","21","44","64","21","43","62","30","32","34","22","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
