"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter"
46,"Mo og Jølster Vidaregående skule (Nedlagt)","Alle utdanningsprogram","216","50","166"
46,"Mo og Jølster Vidaregående skule (Nedlagt)","Studieforberedende","104","22","82"
46,"Mo og Jølster Vidaregående skule (Nedlagt)","Påbygging til generell studiekompetanse","31","10","21"
46,"Mo og Jølster Vidaregående skule (Nedlagt)","Studieforberedende Vg3 Medier og kommunikasjon","21","8","13"
46,"Mo og Jølster Vidaregående skule (Nedlagt)","Studieforberedende Vg3 Naturbruk","10",NA,"10"
46,"Mo og Jølster Vidaregående skule (Nedlagt)","Studiespesialisering med formgivning","42","4","38"
46,"Mo og Jølster Vidaregående skule (Nedlagt)","Yrkesfaglig","112","28","84"
46,"Mo og Jølster Vidaregående skule (Nedlagt)","Design og håndverk","36","6","30"
46,"Mo og Jølster Vidaregående skule (Nedlagt)","Medier og kommunikasjon (gammel ordning)","27","10","17"
46,"Mo og Jølster Vidaregående skule (Nedlagt)","Naturbruk","49","12","37"
