"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Måløy vidaregåande skule","Alle utdanningsprogram","312","184","128","321","203","118","283","170","113","275","157","118","296","167","129","287","168","119","274","156","118","284","173","111","288","178","110","307","199","108","315","182","133","289","160","129","319","178","141","300","167","133"
46,"Måløy vidaregåande skule","Studieforberedende","120","51","69","119","56","63","91","40","51","91","31","60","92","30","62","88","31","57","88","36","52","92","44","48","78","37","41","77","31","46","88","30","58","84","22","62","87","18","69","84","23","61"
46,"Måløy vidaregåande skule","Påbygging til generell studiekompetanse","30","8","22","30","13","17","1","1",NA,"3","2","1","1","1",NA,NA,NA,NA,"2","1","1","2","1","1",NA,NA,NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA
46,"Måløy vidaregåande skule","Studiespesialisering","90","43","47","89","43","46","90","39","51","88","29","59","91","29","62","88","31","57","86","35","51","90","43","47","78","37","41","77","31","46","87","29","58","83","21","62","86","18","68","84","23","61"
46,"Måløy vidaregåande skule","Yrkesfaglig","192","133","59","202","147","55","192","130","62","184","126","58","204","137","67","199","137","62","186","120","66","192","129","63","210","141","69","230","168","62","227","152","75","205","138","67","232","160","72","216","144","72"
46,"Måløy vidaregåande skule","Bygg- og anleggsteknikk","21","21",NA,"25","25",NA,"21","20","1","17","15","2","20","20",NA,"20","19","1","20","19","1","20","20",NA,"18","18",NA,"19","19",NA,"19","14","5","16","14","2","19","18","1","12","11","1"
46,"Måløy vidaregåande skule","Helse- og oppvekstfag","37","4","33","29","2","27","42","3","39","42","2","40","48","3","45","47","6","41","41","5","36","42","5","37","48","6","42","45","8","37","44","6","38","31",NA,"31","30","2","28","37","2","35"
46,"Måløy vidaregåande skule","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","13","2","24","22","2","25","20","5","21","17","4","27","19","8",NA,NA,NA
46,"Måløy vidaregåande skule","Naturbruk","18","17","1","25","24","1","26","25","1","24","20","4","34","28","6","39","35","4","41","32","9","44","34","10","55","45","10","56","45","11","55","41","14","55","41","14","67","44","23","71","48","23"
46,"Måløy vidaregåande skule","Restaurant- og matfag","30","13","17","30","12","18","16","5","11","16","11","5","28","19","9","26","14","12","20","8","12","20","11","9","9","2","7","12","6","6","13","6","7","14","9","5","12","7","5","17","8","9"
46,"Måløy vidaregåande skule","Service og samferdsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,"4","4",NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Måløy vidaregåande skule","Teknologi- og industrifag","86","78","8","93","84","9","87","77","10","83","76","7","70","63","7","65","61","4","64","56","8","66","59","7","65","57","8","74","68","6","71","65","6","68","57","11","77","70","7","79","75","4"
