"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Nordahl Grieg videregående skole","Alle utdanningsprogram","809","322","487","817","309","508","835","347","488","848","361","487","918","395","523","831","327","504","928","384","544","971","452","519","937","435","502","916","418","498","918","363","555","935","378","557","929","396","533","932","411","521"
46,"Nordahl Grieg videregående skole","Studieforberedende","572","252","320","581","229","352","595","244","351","615","256","359","771","356","415","737","323","414","805","375","430","849","431","418","815","415","400","793","395","398","791","347","444","808","362","446","810","382","428","797","398","399"
46,"Nordahl Grieg videregående skole","Idrettsfag","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Nordahl Grieg videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","32","28","112","56","56","172","97","75","162","101","61","134","84","50","115","68","47","118","58","60","144","62","82","155","72","83","132","69","63"
46,"Nordahl Grieg videregående skole","Påbygging til generell studiekompetanse","52","14","38","46","10","36","43","9","34","51","9","42","54","29","25","67","28","39","57","12","45","87","26","61","58","12","46","57","22","35","58","12","46","56","13","43","58","10","48","81","14","67"
46,"Nordahl Grieg videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","12","6","6","13","5","8","16","6","10","20","13","7","21","10","11","11","6","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Nordahl Grieg videregående skole","Studiespesialisering","507","232","275","522","214","308","536","229","307","544","234","310","636","285","351","547","233","314","576","266","310","600","304","296","623","319","304","621","305","316","615","277","338","608","287","321","597","300","297","584","315","269"
46,"Nordahl Grieg videregående skole","Yrkesfaglig","237","70","167","236","80","156","240","103","137","233","105","128","147","39","108","94","4","90","123","9","114","122","21","101","122","20","102","123","23","100","127","16","111","127","16","111","119","14","105","135","13","122"
46,"Nordahl Grieg videregående skole","Bygg- og anleggsteknikk","1","1",NA,NA,NA,NA,"2","2",NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2","2",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA
46,"Nordahl Grieg videregående skole","Helse- og oppvekstfag","81","14","67","84","11","73","78","10","68","76","14","62","93","12","81","94","4","90","123","9","114","122","21","101","121","19","102","118","19","99","127","16","111","124","13","111","115","11","104","133","11","122"
46,"Nordahl Grieg videregående skole","Medier og kommunikasjon (gammel ordning)","90","22","68","88","31","57","92","48","44","86","41","45","47","20","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Nordahl Grieg videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA
46,"Nordahl Grieg videregående skole","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA
46,"Nordahl Grieg videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Nordahl Grieg videregående skole","Service og samferdsel","64","32","32","64","38","26","67","42","25","62","42","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Nordahl Grieg videregående skole","Teknologi- og industrifag","1","1",NA,NA,NA,NA,"1","1",NA,"7","7",NA,"6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,"1","1",NA,"2","2",NA,"2","2",NA
