"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Odda vidaregåande skule","Alle utdanningsprogram","311","162","149","323","172","151","306","149","157","324","156","168","313","162","151","287","153","134","270","144","126","244","138","106","252","138","114","220","113","107","179","97","82","184","90","94","196","92","104","237","135","102"
46,"Odda vidaregåande skule","Studieforberedende","171","67","104","188","71","117","181","68","113","179","64","115","161","53","108","139","50","89","130","40","90","105","38","67","108","34","74","96","32","64","79","25","54","80","27","53","80","16","64","79","23","56"
46,"Odda vidaregåande skule","Idrettsfag","36","17","19","47","19","28","29","10","19","39","14","25","34","8","26","39","12","27","32","8","24","29","10","19","36","11","25","25","8","17","23","6","17","11","4","7","9","2","7",NA,NA,NA
46,"Odda vidaregåande skule","Studiespesialisering","135","50","85","141","52","89","152","58","94","140","50","90","127","45","82","100","38","62","98","32","66","76","28","48","72","23","49","71","24","47","56","19","37","69","23","46","71","14","57","79","23","56"
46,"Odda vidaregåande skule","Yrkesfaglig","140","95","45","135","101","34","125","81","44","145","92","53","152","109","43","148","103","45","140","104","36","139","100","39","144","104","40","124","81","43","100","72","28","104","63","41","116","76","40","158","112","46"
46,"Odda vidaregåande skule","Bygg- og anleggsteknikk","24","18","6","23","21","2","7","7",NA,"15","15",NA,"21","21",NA,"15","12","3","8","7","1","15","15",NA,"24","22","2","16","12","4","10","6","4","16","13","3","20","17","3","24","20","4"
46,"Odda vidaregåande skule","Design og håndverk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4",NA,"10","10",NA,"3","2","1","7","7",NA,"1","1",NA,"9","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Odda vidaregåande skule","Elektro og datateknologi","27","25","2","23","22","1","25","21","4","28","22","6","29","24","5","30","27","3","29","26","3","26","24","2","27","25","2","25","22","3","22","19","3","13","12","1","16","12","4","30","25","5"
46,"Odda vidaregåande skule","Helse- og oppvekstfag","27","3","24","26","2","24","31","2","29","32","2","30","33","2","31","44","13","31","34","9","25","25","3","22","24","4","20","20","3","17","8","1","7","23","3","20","18","2","16","24","3","21"
46,"Odda vidaregåande skule","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","4","2","2","2",NA,NA,NA,NA,"2","1","1","5","5",NA
46,"Odda vidaregåande skule","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Odda vidaregåande skule","Teknologi- og industrifag","62","49","13","63","56","7","62","51","11","66","49","17","59","52","7","56","49","7","62","55","7","72","57","15","60","44","16","57","40","17","57","44","13","52","35","17","60","44","16","75","59","16"
