"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Olsvikåsen videregående skole","Alle utdanningsprogram","438","152","286","463","133","330","474","155","319","477","133","344","516","160","356","525","154","371","537","149","388","537","149","388","553","164","389","547","183","364","533","173","360","516","155","361","501","154","347","517","167","350"
46,"Olsvikåsen videregående skole","Studieforberedende","289","122","167","290","110","180","300","131","169","298","96","202","335","119","216","362","122","240","387","121","266","376","119","257","384","131","253","384","151","233","374","142","232","369","136","233","357","139","218","374","150","224"
46,"Olsvikåsen videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","5","25","53","6","47","80","14","66","79","18","61","85","19","66","83","21","62","79","16","63","74","9","65","74","13","61","85","14","71"
46,"Olsvikåsen videregående skole","Påbygging til generell studiekompetanse","30","9","21","27","1","26","30","8","22","33","2","31","32","10","22","31","9","22","30","8","22","29","2","27","29","4","25","32","5","27","30","1","29","31","4","27","28","1","27","27",NA,"27"
46,"Olsvikåsen videregående skole","Studiespesialisering","219","104","115","218","104","114","228","120","108","222","92","130","246","102","144","258","106","152","277","99","178","268","99","169","270","108","162","269","125","144","265","125","140","264","123","141","255","125","130","262","136","126"
46,"Olsvikåsen videregående skole","Studiespesialisering med formgivning","40","9","31","45","5","40","42","3","39","43","2","41","27","2","25","20","1","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Olsvikåsen videregående skole","Yrkesfaglig","149","30","119","173","23","150","174","24","150","179","37","142","181","41","140","163","32","131","150","28","122","161","30","131","169","33","136","163","32","131","159","31","128","147","19","128","144","15","129","143","17","126"
46,"Olsvikåsen videregående skole","Design og håndverk","35","9","26","25","2","23","14","2","12","13","2","11","16","1","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Olsvikåsen videregående skole","Helse- og oppvekstfag","103","16","87","133","15","118","147","15","132","150","25","125","151","30","121","151","24","127","138","21","117","152","26","126","158","26","132","151","23","128","153","25","128","144","16","128","144","15","129","143","17","126"
46,"Olsvikåsen videregående skole","Restaurant- og matfag","11","5","6","15","6","9","13","7","6","16","10","6","14","10","4","12","8","4","12","7","5","9","4","5","11","7","4","12","9","3","6","6",NA,"3","3",NA,NA,NA,NA,NA,NA,NA
