"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Os vidaregåande skule","Alle utdanningsprogram","444","316","128","441","286","155","432","292","140","443","304","139","447","303","144","457","317","140","463","300","163","462","308","154","457","292","165","457","298","159","463","283","180","480","296","184","488","294","194","511","293","218"
46,"Os vidaregåande skule","Studieforberedende","54","28","26","54","18","36","55","19","36","49","31","18","53","18","35","54","18","36","55","17","38","57","27","30","57","19","38","56","21","35","60","16","44","60","19","41","50","20","30","60","15","45"
46,"Os vidaregåande skule","Påbygging til generell studiekompetanse","54","28","26","54","18","36","55","19","36","49","31","18","53","18","35","54","18","36","55","17","38","57","27","30","57","19","38","56","21","35","60","16","44","60","19","41","50","20","30","60","15","45"
46,"Os vidaregåande skule","Yrkesfaglig","390","288","102","387","268","119","377","273","104","394","273","121","394","285","109","403","299","104","408","283","125","405","281","124","400","273","127","401","277","124","403","267","136","420","277","143","438","274","164","451","278","173"
46,"Os vidaregåande skule","Bygg- og anleggsteknikk","106","100","6","100","94","6","98","92","6","106","99","7","129","125","4","126","124","2","116","110","6","118","111","7","115","105","10","116","107","9","113","100","13","106","92","14","103","96","7","99","94","5"
46,"Os vidaregåande skule","Elektro og datateknologi","45","42","3","45","40","5","45","42","3","45","43","2","45","43","2","42","38","4","44","39","5","43","38","5","46","42","4","45","42","3","43","42","1","43","40","3","45","40","5","44","40","4"
46,"Os vidaregåande skule","Helse- og oppvekstfag","73","11","62","78","6","72","72","3","69","77","8","69","82","5","77","96","15","81","96","12","84","94","12","82","93","15","78","91","13","78","91","13","78","90","13","77","98","13","85","108","16","92"
46,"Os vidaregåande skule","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","12","10","36","21","15","33","14","19","50","23","27","63","23","40","72","22","50"
46,"Os vidaregåande skule","Service og samferdsel","74","54","20","79","57","22","78","56","22","78","48","30","61","44","17","59","47","12","80","59","21","74","52","22","41","29","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Os vidaregåande skule","Teknologi- og industrifag","92","81","11","85","71","14","84","80","4","88","75","13","77","68","9","80","75","5","72","63","9","76","68","8","83","70","13","113","94","19","123","98","25","131","109","22","129","102","27","128","106","22"
