"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Sogndal vidaregåande skule","Alle utdanningsprogram","745","420","325","723","403","320","745","386","359","735","378","357","757","401","356","746","405","341","735","392","343","722","373","349","715","369","346","724","371","353","663","350","313","647","330","317","595","330","265","608","320","288"
46,"Sogndal vidaregåande skule","Studieforberedende","489","212","277","460","191","269","405","166","239","402","158","244","397","164","233","388","172","216","380","156","224","383","161","222","370","157","213","368","143","225","338","134","204","314","111","203","276","102","174","285","110","175"
46,"Sogndal vidaregåande skule","Idrettsfag","137","74","63","110","59","51","90","50","40","89","53","36","88","58","30","88","57","31","82","50","32","73","48","25","86","55","31","118","60","58","131","68","63","111","52","59","83","37","46","90","44","46"
46,"Sogndal vidaregåande skule","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","8","14","28","17","11","36","25","11","47","25","22","31","18","13","16","9","7","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Sogndal vidaregåande skule","Påbygging til generell studiekompetanse","59","19","40","28","10","18","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Sogndal vidaregåande skule","Studieforberedende Vg3 Medier og kommunikasjon","15","3","12","15","3","12","13","6","7","14","3","11","12","5","7","15","4","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Sogndal vidaregåande skule","Studiespesialisering","278","116","162","307","119","188","300","109","191","299","102","197","275","93","182","257","94","163","262","81","181","263","88","175","253","84","169","234","74","160","202","62","140","203","59","144","193","65","128","195","66","129"
46,"Sogndal vidaregåande skule","Yrkesfaglig","256","208","48","263","212","51","340","220","120","333","220","113","360","237","123","358","233","125","355","236","119","339","212","127","345","212","133","356","228","128","325","216","109","333","219","114","319","228","91","323","210","113"
46,"Sogndal vidaregåande skule","Bygg- og anleggsteknikk","85","84","1","84","82","2","85","84","1","69","67","2","82","81","1","98","96","2","102","97","5","92","86","6","97","84","13","99","90","9","94","86","8","94","85","9","93","86","7","86","77","9"
46,"Sogndal vidaregåande skule","Elektro og datateknologi","57","56","1","62","61","1","73","70","3","83","81","2","86","84","2","64","61","3","62","59","3","61","58","3","64","62","2","65","62","3","58","55","3","62","59","3","58","55","3","58","56","2"
46,"Sogndal vidaregåande skule","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,"71","5","66","66","9","57","85","11","74","84","6","78","93","11","82","96","6","90","91","12","79","95","14","81","88","12","76","75","8","67","61","9","52","61","6","55"
46,"Sogndal vidaregåande skule","Medier og kommunikasjon (gammel ordning)","37","11","26","30","9","21","27","6","21","28","6","22","13","3","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Sogndal vidaregåande skule","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,"11","4","7","21","8","13","9","4","5","19","6","13","6","3","3","4","3","1","8","2","6","5","3","2","9","8","1","20","11","9","21","11","10","27","12","15"
46,"Sogndal vidaregåande skule","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","6","12","38","18","20","23","10","13","26","7","19","20","8","12","24","5","19"
46,"Sogndal vidaregåande skule","Service og samferdsel","30","12","18","40","16","24","36","14","22","31","14","17","49","20","29","57","29","28","56","32","24","50","27","23","28","18","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Sogndal vidaregåande skule","Teknologi- og industrifag","47","45","2","47","44","3","37","37",NA,"35","35",NA,"36","34","2","36","35","1","36","34","2","36","32","4","39","28","11","54","41","13","53","45","8","56","49","7","66","59","7","67","54","13"
