"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Sotra vidaregåande skule","Alle utdanningsprogram","527","365","162","555","356","199","824","468","356","800","444","356","795","474","321","823","462","361","801","475","326","789","446","343","817","477","340","735","421","314","732","417","315","731","418","313","730","432","298","804","459","345"
46,"Sotra vidaregåande skule","Studieforberedende","259","151","108","282","138","144","418","205","213","403","182","221","387","213","174","396","193","203","381","206","175","375","195","180","396","204","192","348","169","179","347","167","180","325","155","170","311","154","157","316","146","170"
46,"Sotra vidaregåande skule","Idrettsfag",NA,NA,NA,"3","3",NA,"70","39","31","79","44","35","76","48","28","80","41","39","86","47","39","83","45","38","78","53","25","84","58","26","84","51","33","78","40","38","78","40","38","77","39","38"
46,"Sotra vidaregåande skule","Påbygging til generell studiekompetanse","30","15","15","29","11","18","59","24","35","58","21","37","58","33","25","60","27","33","54","24","30","51","29","22","60","23","37","31","6","25","48","15","33","48","16","32","51","16","35","62","20","42"
46,"Sotra vidaregåande skule","Studiespesialisering","229","136","93","250","124","126","252","136","116","248","116","132","253","132","121","256","125","131","241","135","106","241","121","120","258","128","130","233","105","128","215","101","114","199","99","100","182","98","84","177","87","90"
46,"Sotra vidaregåande skule","Studiespesialisering med formgivning",NA,NA,NA,NA,NA,NA,"37","6","31","18","1","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Sotra vidaregåande skule","Yrkesfaglig","268","214","54","273","218","55","406","263","143","397","262","135","408","261","147","427","269","158","420","269","151","414","251","163","421","273","148","387","252","135","385","250","135","406","263","143","419","278","141","488","313","175"
46,"Sotra vidaregåande skule","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,"49","47","2","48","48",NA,"51","48","3","65","61","4","74","71","3","78","75","3","77","75","2","74","69","5","67","63","4","76","69","7","83","76","7","94","88","6"
46,"Sotra vidaregåande skule","Design og håndverk",NA,NA,NA,NA,NA,NA,"20","2","18","17","5","12","20","5","15","20","4","16","20","5","15","6","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Sotra vidaregåande skule","Elektro og datateknologi","82","79","3","87","82","5","87","80","7","88","79","9","88","81","7","88","84","4","74","71","3","72","64","8","73","66","7","72","59","13","73","59","14","71","61","10","70","61","9","84","72","12"
46,"Sotra vidaregåande skule","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,"88","15","73","90","17","73","98","19","79","114","23","91","113","26","87","112","22","90","109","23","86","87","17","70","81","16","65","82","15","67","78","14","64","93","16","77"
46,"Sotra vidaregåande skule","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Sotra vidaregåande skule","Restaurant- og matfag","64","34","30","48","28","20","41","27","14","36","22","14","34","21","13","41","24","17","39","25","14","46","18","28","49","21","28","43","20","23","40","20","20","39","23","16","32","19","13","41","17","24"
46,"Sotra vidaregåande skule","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","14","12","26","12","14","22","6","16","36","19","17","70","39","31","76","37","39"
46,"Sotra vidaregåande skule","Service og samferdsel","29","17","12","39","20","19","31","13","18","29","13","16","31","11","20","26","9","17","30","13","17","30","14","16","10","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Sotra vidaregåande skule","Teknologi- og industrifag","93","84","9","99","88","11","90","79","11","89","78","11","86","76","10","73","64","9","70","58","12","70","56","14","73","68","5","85","75","10","102","86","16","102","76","26","86","69","17","100","83","17"
