"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Stord vidaregåande skule","Alle utdanningsprogram","860","485","375","814","463","351","806","459","347","800","457","343","819","489","330","800","469","331","737","412","325","747","407","340","804","440","364","748","402","346","697","382","315","680","374","306","696","379","317","772","401","371"
46,"Stord vidaregåande skule","Studieforberedende","556","238","318","513","221","292","513","227","286","507","218","289","549","250","299","561","249","312","536","230","306","548","225","323","555","223","332","496","193","303","449","174","275","407","147","260","409","148","261","461","156","305"
46,"Stord vidaregåande skule","Idrettsfag","78","39","39","77","38","39","98","45","53","129","56","73","145","63","82","162","79","83","158","83","75","157","79","78","156","64","92","155","60","95","144","53","91","131","56","75","127","59","68","141","59","82"
46,"Stord vidaregåande skule","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","10","19","46","16","30","53","26","27","56","28","28","65","29","36","43","14","29","33","8","25","27","5","22","33","9","24","34","9","25"
46,"Stord vidaregåande skule","Musikk, dans og drama","67","22","45","62","22","40","64","29","35","66","28","38","67","27","40","51","22","29","56","16","40","59","22","37","48","20","28","49","18","31","45","14","31","40","9","31","51","13","38","62","20","42"
46,"Stord vidaregåande skule","Påbygging til generell studiekompetanse","60","29","31","28","14","14","29","9","20","30","16","14","52","25","27","57","29","28","28","16","12","26","12","14","30","12","18","20","11","9","29","15","14","28","4","24","26","7","19","27","11","16"
46,"Stord vidaregåande skule","Studiespesialisering","340","147","193","346","147","199","322","144","178","282","118","164","256","125","131","245","103","142","241","89","152","250","84","166","256","98","158","229","90","139","198","84","114","181","73","108","172","60","112","197","57","140"
46,"Stord vidaregåande skule","Studiespesialisering med formgivning","11","1","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Stord vidaregåande skule","Yrkesfaglig","304","247","57","301","242","59","293","232","61","293","239","54","270","239","31","239","220","19","201","182","19","199","182","17","249","217","32","252","209","43","248","208","40","273","227","46","287","231","56","311","245","66"
46,"Stord vidaregåande skule","Bygg- og anleggsteknikk","61","57","4","60","58","2","52","51","1","50","48","2","65","63","2","64","61","3","43","41","2","38","36","2","42","37","5","44","36","8","38","34","4","48","41","7","51","43","8","53","43","10"
46,"Stord vidaregåande skule","Design og håndverk","4",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Stord vidaregåande skule","Elektro og datateknologi","106","100","6","107","99","8","108","97","11","107","94","13","106","95","11","100","94","6","84","78","6","81","76","5","83","75","8","85","73","12","79","68","11","93","79","14","103","83","20","118","92","26"
46,"Stord vidaregåande skule","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Stord vidaregåande skule","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","16","2","28","26","2","26","24","2","31","29","2","32","30","2","30","26","4"
46,"Stord vidaregåande skule","Medier og kommunikasjon (gammel ordning)","53","19","34","53","12","41","53","17","36","54","25","29","24","9","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Stord vidaregåande skule","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","11","6","20","10","10","24","12","12","25","11","14","30","12","18","23","7","16"
46,"Stord vidaregåande skule","Service og samferdsel","15","15",NA,"15","14","1","15","12","3","15","13","2","14","14",NA,"15","12","3","15","12","3","15","14","1","14","13","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Stord vidaregåande skule","Teknologi- og industrifag","65","56","9","66","59","7","65","55","10","66","59","7","61","58","3","60","53","7","58","51","7","65","56","9","75","65","10","75","64","11","81","70","11","76","67","9","71","63","8","87","77","10"
