"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Stryn vidaregåande skule","Alle utdanningsprogram","280","152","128","265","145","120","278","141","137","272","134","138","270","133","137","278","139","139","280","143","137","307","157","150","261","129","132","238","112","126","223","113","110","255","123","132","254","127","127","264","136","128"
46,"Stryn vidaregåande skule","Studieforberedende","185","94","91","169","78","91","181","81","100","173","77","96","171","76","95","163","73","90","164","75","89","163","70","93","137","59","78","144","58","86","113","50","63","141","58","83","140","55","85","149","63","86"
46,"Stryn vidaregåande skule","Idrettsfag","73","43","30","64","41","23","44","30","14","24","18","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Stryn vidaregåande skule","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,"1"
46,"Stryn vidaregåande skule","Studiespesialisering","112","51","61","105","37","68","137","51","86","146","59","87","171","76","95","163","73","90","164","75","89","163","70","93","136","58","78","144","58","86","112","49","63","141","58","83","140","55","85","148","63","85"
46,"Stryn vidaregåande skule","Yrkesfaglig","95","58","37","96","67","29","97","60","37","99","57","42","99","57","42","115","66","49","116","68","48","144","87","57","124","70","54","94","54","40","110","63","47","114","65","49","114","72","42","115","73","42"
46,"Stryn vidaregåande skule","Bygg- og anleggsteknikk","21","21",NA,"29","29",NA,"34","34",NA,"41","41",NA,"29","29",NA,"30","30",NA,"34","33","1","36","33","3","31","24","7","34","26","8","41","36","5","34","30","4","38","34","4","38","36","2"
46,"Stryn vidaregåande skule","Helse- og oppvekstfag","29","2","27","24","4","20","27","1","26","27","2","25","26","2","24","42","9","33","45","9","36","49","8","41","41","9","32","32","5","27","30","3","27","40","2","38","30",NA,"30","31","1","30"
46,"Stryn vidaregåande skule","Restaurant- og matfag","20","11","9","10","4","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Stryn vidaregåande skule","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","2","7",NA,NA,NA,"9","4","5","2","2",NA,"2","2",NA,"1","1",NA
46,"Stryn vidaregåande skule","Service og samferdsel",NA,NA,NA,NA,NA,NA,"36","25","11","31","14","17","44","26","18","43","27","16","37","26","11","47","36","11","27","21","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Stryn vidaregåande skule","Teknologi- og industrifag","25","24","1","33","30","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","10","2","16","14","2","28","23","5","30","20","10","38","31","7","44","36","8","45","35","10"
