"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter"
46,"Sund vidaregåande skule (Nedlagt)","Alle utdanningsprogram","336","123","213","300","101","199"
46,"Sund vidaregåande skule (Nedlagt)","Studieforberedende","143","44","99","144","37","107"
46,"Sund vidaregåande skule (Nedlagt)","Idrettsfag","70","36","34","64","33","31"
46,"Sund vidaregåande skule (Nedlagt)","IDIDR2 - Idrettsfag vg2","18","10","8","17","9","8"
46,"Sund vidaregåande skule (Nedlagt)","IDIDR3 - Idrettsfag vg3","25","14","11","20","10","10"
46,"Sund vidaregåande skule (Nedlagt)","IDRET1 - Idrettsfag vg1","27","12","15","27","14","13"
46,"Sund vidaregåande skule (Nedlagt)","Påbygging til generell studiekompetanse","28","4","24","31","2","29"
46,"Sund vidaregåande skule (Nedlagt)","Studiespesialisering med formgivning","45","4","41","49","2","47"
46,"Sund vidaregåande skule (Nedlagt)","Yrkesfaglig","193","79","114","156","64","92"
46,"Sund vidaregåande skule (Nedlagt)","Bygg- og anleggsteknikk","70","67","3","49","48","1"
46,"Sund vidaregåande skule (Nedlagt)","Design og håndverk","19","2","17","16","2","14"
46,"Sund vidaregåande skule (Nedlagt)","Helse- og oppvekstfag","104","10","94","91","14","77"
