"fylkesnr","skole","linje","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Voss gymnas","Alle utdanningsprogram","552","206","346","547","230","317","560","217","343","546","214","332","542","205","337","519","204","315","528","187","341","494","180","314","527","188","339"
46,"Voss gymnas","Studieforberedende","440","176","264","435","195","240","416","177","239","377","159","218","380","145","235","386","159","227","396","140","256","380","147","233","385","149","236"
46,"Voss gymnas","Idrettsfag","140","76","64","128","76","52","112","66","46","96","60","36","100","58","42","113","71","42","122","62","60","123","62","61","124","64","60"
46,"Voss gymnas","Kunst, design og arkitektur","15","3","12","17","4","13","22","4","18","32","5","27","30","1","29","32","1","31","36","5","31","29","6","23","37","8","29"
46,"Voss gymnas","Musikk, dans og drama","37","14","23","45","15","30","39","8","31","36","12","24","39","18","21","42","18","24","40","16","24","36","15","21","34","15","19"
46,"Voss gymnas","Påbygging til generell studiekompetanse","49","16","33","60","23","37","58","26","32","60","28","32","57","15","42","52","17","35","30","5","25","31","12","19","30","8","22"
46,"Voss gymnas","Studieforberedende Vg3 Medier og kommunikasjon","5",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Voss gymnas","Studiespesialisering","194","67","127","185","77","108","185","73","112","153","54","99","154","53","101","147","52","95","168","52","116","161","52","109","160","54","106"
46,"Voss gymnas","Yrkesfaglig","112","30","82","112","35","77","144","40","104","169","55","114","162","60","102","133","45","88","132","47","85","114","33","81","142","39","103"
46,"Voss gymnas","Design og håndverk","24","1","23","22","2","20","15","1","14","12","1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Voss gymnas","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","3","13","24","4","20","11",NA,"11","13","1","12","15","1","14","15","2","13"
46,"Voss gymnas","Helse- og oppvekstfag","60","7","53","60","8","52","86","11","75","88","11","77","85","13","72","73","7","66","76","12","64","58","7","51","71","3","68"
46,"Voss gymnas","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","14","1","30","29","1","26","25","1","24","22","2","22","20","2","27","24","3"
46,"Voss gymnas","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","8","7","23","14","9","23","13","10","19","12","7","19","5","14","29","10","19"
46,"Voss gymnas","Service og samferdsel","28","22","6","30","25","5","43","28","15","23","18","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
