"fylkesnr","skole","linje","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Voss vidaregåande skule","Alle utdanningsprogram","358","226","132","372","218","154","372","229","143","358","229","129","352","217","135","347","211","136","387","234","153","379","227","152","366","213","153","390","238","152"
46,"Voss vidaregåande skule","Studieforberedende","25","7","18","18","8","10","39","16","23","39","10","29","37","12","25","33","11","22","36","9","27","35","9","26","41","11","30","35","12","23"
46,"Voss vidaregåande skule","Påbygging til generell studiekompetanse",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"1","4",NA,"4","7","2","5"
46,"Voss vidaregåande skule","Studieforberedende Vg3 Naturbruk","25","7","18","17","8","9","39","16","23","39","10","29","37","12","25","33","11","22","35","9","26","34","9","25","37","11","26","28","10","18"
46,"Voss vidaregåande skule","Yrkesfaglig","333","219","114","354","210","144","333","213","120","319","219","100","315","205","110","314","200","114","351","225","126","344","218","126","325","202","123","355","226","129"
46,"Voss vidaregåande skule","Bygg- og anleggsteknikk","49","49",NA,"49","46","3","50","46","4","54","48","6","53","45","8","55","50","5","56","53","3","53","49","4","50","44","6","55","50","5"
46,"Voss vidaregåande skule","Elektro og datateknologi","42","40","2","42","39","3","40","38","2","42","41","1","42","38","4","37","33","4","40","36","4","42","41","1","41","38","3","45","40","5"
46,"Voss vidaregåande skule","Helse- og oppvekstfag","6",NA,"6","6",NA,"6","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Voss vidaregåande skule","Naturbruk","126","52","74","157","56","101","155","71","84","135","66","69","114","51","63","123","50","73","138","55","83","136","50","86","126","45","81","126","49","77"
46,"Voss vidaregåande skule","Restaurant- og matfag","32","7","25","34","12","22","32","14","18","37","18","19","41","14","27","39","16","23","45","17","28","34","13","21","36","14","22","42","19","23"
46,"Voss vidaregåande skule","Teknologi- og industrifag","78","71","7","66","57","9","54","44","10","51","46","5","65","57","8","60","51","9","72","64","8","79","65","14","72","61","11","87","68","19"
