"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Årstad videregående skole","Alle utdanningsprogram","903","488","415","808","420","388","820","397","423","845","433","412","798","398","400","882","381","501","874","390","484","864","374","490","849","354","495","851","334","517","858","325","533","805","300","505","704","249","455","732","254","478"
46,"Årstad videregående skole","Studieforberedende","72","34","38","57","18","39","57","23","34","59","23","36","116","48","68","161","59","102","242","94","148","244","95","149","245","93","152","234","73","161","241","67","174","227","48","179","212","49","163","198","34","164"
46,"Årstad videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","9","20","49","12","37","75","16","59","81","16","65","80","17","63","77","11","66","100","18","82","142","28","114","150","30","120","135","23","112"
46,"Årstad videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Årstad videregående skole","Påbygging til generell studiekompetanse","64","28","36","57","18","39","57","23","34","59","23","36","59","25","34","60","24","36","60","19","41","61","27","34","59","21","38","54","13","41","60","11","49","60","9","51","60","17","43","63","11","52"
46,"Årstad videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","8","6","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Årstad videregående skole","Studiespesialisering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","14","14","52","23","29","104","56","48","102","52","50","106","55","51","103","49","54","81","38","43","25","11","14","2","2",NA,NA,NA,NA
46,"Årstad videregående skole","Yrkesfaglig","831","454","377","751","402","349","763","374","389","786","410","376","682","350","332","721","322","399","632","296","336","620","279","341","604","261","343","617","261","356","617","258","359","578","252","326","492","200","292","534","220","314"
46,"Årstad videregående skole","Bygg- og anleggsteknikk","87","78","9","8","8",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Årstad videregående skole","Design og håndverk","187","10","177","145","18","127","130","16","114","148","17","131","129","15","114","139","19","120","150","25","125","169","25","144","87","7","80","15","2","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Årstad videregående skole","Elektro og datateknologi","106","103","3","108","104","4","112","103","9","137","127","10","131","126","5","129","123","6","111","101","10","101","92","9","97","87","10","100","92","8","97","91","6","98","89","9","87","79","8","89","83","6"
46,"Årstad videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","5","61","129","10","119","148","11","137","134","15","119","145","8","137","158","13","145"
46,"Årstad videregående skole","Helse- og oppvekstfag","112","26","86","126","23","103","183","19","164","180","29","151","193","29","164","257","32","225","227","44","183","220","49","171","213","49","164","216","40","176","215","40","175","192","36","156","121","10","111","141","17","124"
46,"Årstad videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","8","14","34","8","26","31","5","26","33","8","25","29","7","22","30","5","25"
46,"Årstad videregående skole","Medier og kommunikasjon (gammel ordning)","49","14","35","51","16","35","54","24","30","47","28","19","14","8","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Årstad videregående skole","Restaurant- og matfag","75","41","34","81","37","44","79","37","42","75","38","37","62","36","26","52","21","31",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Årstad videregående skole","Service og samferdsel",NA,NA,NA,"1","1",NA,NA,NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Årstad videregående skole","Teknologi- og industrifag","215","182","33","231","195","36","205","175","30","197","170","27","152","135","17","144","127","17","143","125","18","128","111","17","119","105","14","123","109","14","126","111","15","121","104","17","110","96","14","116","102","14"
