"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
46,"Åsane vidaregåande skule","Alle utdanningsprogram","373","245","128","364","224","140","363","221","142","332","192","140","453","234","219","462","228","234","418","213","205","409","188","221","774","427","347","882","487","395","895","483","412","911","489","422","914","482","432","939","492","447"
46,"Åsane vidaregåande skule","Studieforberedende","85","45","40","79","27","52","78","25","53","76","31","45","110","53","57","104","45","59","106","47","59","104","37","67","201","99","102","273","124","149","256","116","140","260","120","140","251","117","134","241","119","122"
46,"Åsane vidaregåande skule","Idrettsfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","66","45","134","77","57","166","89","77","168","95","73","159","92","67","151","94","57"
46,"Åsane vidaregåande skule","Påbygging til generell studiekompetanse","80","41","39","79","27","52","77","24","53","76","31","45","107","51","56","102","43","59","106","47","59","102","36","66","89","32","57","139","47","92","90","27","63","92","25","67","92","25","67","90","25","65"
46,"Åsane vidaregåande skule","Studiespesialisering","5","4","1",NA,NA,NA,"1","1",NA,NA,NA,NA,"3","2","1","2","2",NA,NA,NA,NA,"2","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Åsane vidaregåande skule","Yrkesfaglig","288","200","88","285","197","88","285","196","89","256","161","95","343","181","162","358","183","175","312","166","146","305","151","154","573","328","245","609","363","246","639","367","272","651","369","282","663","365","298","698","373","325"
46,"Åsane vidaregåande skule","Bygg- og anleggsteknikk","52","49","3","72","70","2","74","72","2","67","64","3","65","64","1","73","73",NA,"77","77",NA,"77","72","5","101","92","9","140","125","15","141","130","11","144","130","14","120","105","15","125","115","10"
46,"Åsane vidaregåande skule","Design og håndverk","2","2",NA,"2",NA,"2","2",NA,"2","1",NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Åsane vidaregåande skule","Elektro og datateknologi","29","28","1","30","27","3","31","30","1","31","31",NA,"30","29","1","31","30","1","27","25","2","14","14",NA,"75","73","2","75","72","3","74","70","4","75","71","4","75","70","5","75","70","5"
46,"Åsane vidaregåande skule","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Åsane vidaregåande skule","Helse- og oppvekstfag","79","12","67","86","14","72","89","20","69","86","14","72","186","34","152","197","35","162","177","34","143","183","39","144","218","37","181","213","38","175","236","41","195","234","43","191","239","48","191","266","50","216"
46,"Åsane vidaregåande skule","Restaurant- og matfag","38","26","12","14","8","6","17","10","7","18","7","11","11","7","4","15","4","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA
46,"Åsane vidaregåande skule","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53","32","21","97","53","44","103","50","53","108","47","61","125","54","71","129","50","79"
46,"Åsane vidaregåande skule","Service og samferdsel",NA,NA,NA,"2",NA,"2","1",NA,"1","1",NA,"1",NA,NA,NA,"2","1","1",NA,NA,NA,NA,NA,NA,"54","32","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Åsane vidaregåande skule","Teknologi- og industrifag","88","83","5","79","78","1","71","64","7","52","45","7","50","47","3","40","40",NA,"31","30","1","31","26","5","70","62","8","83","74","9","84","75","9","89","77","12","104","88","16","103","88","15"
