"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Aglo videregående skole","Alle utdanningsprogram","202","73","129","211","69","142","224","76","148","221","92","129","225","103","122","221","118","103","219","110","109","219","112","107","229","105","124","201","83","118","146","67","79","157","81","76","164","74","90","198","86","112"
50,"Aglo videregående skole","Studieforberedende","49","13","36","53","10","43","59","10","49","55","16","39","57","19","38","57","26","31","51","22","29","48","20","28","52","19","33","42","15","27","30","12","18","19","6","13","29","10","19","34","15","19"
50,"Aglo videregående skole","Påbygging til generell studiekompetanse","49","13","36","53","10","43","59","10","49","55","16","39","57","19","38","57","26","31","51","22","29","48","20","28","52","19","33","42","15","27","30","12","18","19","6","13","29","10","19","34","15","19"
50,"Aglo videregående skole","Yrkesfaglig","153","60","93","158","59","99","165","66","99","166","76","90","168","84","84","164","92","72","168","88","80","171","92","79","177","86","91","159","68","91","116","55","61","138","75","63","135","64","71","164","71","93"
50,"Aglo videregående skole","Bygg- og anleggsteknikk","22","21","1","23","22","1","26","22","4","27","24","3","29","27","2","29","26","3","33","27","6","30","26","4","35","30","5","22","17","5","18","15","3","20","19","1","15","14","1","22","19","3"
50,"Aglo videregående skole","Design og håndverk","41","5","36","39","4","35","33","2","31","31","6","25","27","4","23","26","4","22","25","7","18","26","6","20","11","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Aglo videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,"12","8",NA,"8","6",NA,"6","12","1","11","11",NA,"11","25","4","21"
50,"Aglo videregående skole","Helse- og oppvekstfag","52","8","44","49","6","43","52","7","45","49","10","39","53","12","41","52","19","33","53","13","40","53","9","44","47","7","40","57","9","48","45","10","35","35","12","23","36","4","32","44","5","39"
50,"Aglo videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","1","4","10","3","7","6","1","5","10","1","9","11","1","10","13","2","11"
50,"Aglo videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","7","8","25","8","17","13","5","8","17","7","10","19","9","10","15","7","8"
50,"Aglo videregående skole","Service og samferdsel","13","6","7","25","9","16","26","10","16","29","11","18","28","11","17","26","15","11","29","15","14","31","22","9","12","4","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Aglo videregående skole","Teknologi- og industrifag","25","20","5","22","18","4","28","25","3","30","25","5","31","30","1","31","28","3","28","26","2","31","29","2","40","35","5","37","31","6","28","24","4","44","35","9","43","36","7","45","34","11"
