"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Byåsen videregående skole","Alle utdanningsprogram","1031","538","493","1061","545","516","1026","537","489","1019","519","500","1022","535","487","1011","547","464","1057","562","495","990","537","453","1058","579","479","1022","560","462","1003","567","436","929","520","409","877","496","381","841","499","342"
50,"Byåsen videregående skole","Studieforberedende","498","248","250","548","265","283","554","279","275","554","270","284","607","308","299","634","330","304","664","351","313","636","322","314","642","339","303","636","338","298","621","341","280","583","319","264","535","288","247","516","293","223"
50,"Byåsen videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","41","19","113","77","36","175","104","71","169","96","73","175","89","86","136","71","65","134","69","65","107","58","49","114","61","53","86","42","44"
50,"Byåsen videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,"13","4","9","12","6","6","20","9","11","22","11","11",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"3","3",NA
50,"Byåsen videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","24","11","13","50","22","28","15","8","7","16","10","6","12","8","4","10","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Byåsen videregående skole","Studiespesialisering","474","237","237","498","243","255","526","267","259","526","254","272","515","250","265","489","234","255","489","247","242","466","225","241","467","250","217","500","267","233","487","272","215","475","260","215","421","227","194","427","248","179"
50,"Byåsen videregående skole","Yrkesfaglig","533","290","243","513","280","233","472","258","214","465","249","216","415","227","188","377","217","160","393","211","182","354","215","139","416","240","176","386","222","164","382","226","156","346","201","145","342","208","134","325","206","119"
50,"Byåsen videregående skole","Helse- og oppvekstfag","211","59","152","195","41","154","164","36","128","167","34","133","173","43","130","181","68","113","192","59","133","172","60","112","199","66","133","181","54","127","157","41","116","134","32","102","130","37","93","111","26","85"
50,"Byåsen videregående skole","Medier og kommunikasjon (gammel ordning)","81","36","45","61","28","33","61","31","30","60","34","26","30","18","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Byåsen videregående skole","Restaurant- og matfag","73","41","32","78","44","34","80","40","40","72","37","35","58","33","25","55","28","27","48","23","25","39","29","10","45","26","19","39","23","16","48","28","20","40","19","21","45","25","20","46","24","22"
50,"Byåsen videregående skole","Teknologi- og industrifag","168","154","14","179","167","12","167","151","16","166","144","22","154","133","21","141","121","20","153","129","24","143","126","17","172","148","24","166","145","21","177","157","20","172","150","22","167","146","21","168","156","12"
