"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Charlottenlund videregående skole","Alle utdanningsprogram","1301","674","627","1300","698","602","1251","654","597","1215","637","578","1108","566","542","1089","568","521","1078","579","499","1074","600","474","1169","639","530","1182","634","548","1173","667","506","1148","641","507","1157","680","477","1119","657","462"
50,"Charlottenlund videregående skole","Studieforberedende","653","289","364","658","310","348","649","306","343","650","296","354","668","287","381","726","332","394","729","347","382","689","339","350","709","342","367","694","313","381","654","294","360","615","268","347","620","312","308","606","305","301"
50,"Charlottenlund videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","10","19","50","20","30","70","27","43","56","24","32","70","26","44","66","15","51","84","14","70","84","18","66","81","22","59","78","20","58"
50,"Charlottenlund videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","30","30","106","54","52","149","75","74","133","63","70","127","56","71","109","47","62","97","38","59","84","37","47","81","39","42","82","36","46"
50,"Charlottenlund videregående skole","Musikk, dans og drama","80","12","68","69","15","54","75","14","61","68","16","52","73","23","50","65","20","45","70","20","50","62","13","49","64","15","49","60","17","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Charlottenlund videregående skole","Påbygging til generell studiekompetanse","86","28","58","49","18","31","69","23","46","73","22","51","54","17","37","35","13","22","1","1",NA,NA,NA,NA,"1",NA,"1","1",NA,"1","22","18","4",NA,NA,NA,"7","6","1","7","4","3"
50,"Charlottenlund videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","58","38","20","67","34","33","34","22","12","30","16","14","24","12","12","30","16","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Charlottenlund videregående skole","Studiespesialisering","428","211","217","473","243","230","471","247","224","479","242","237","428","195","233","440","209","231","439","224","215","438","239","199","447","245","202","458","234","224","451","224","227","447","213","234","451","245","206","439","245","194"
50,"Charlottenlund videregående skole","Studiespesialisering med formgivning","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Charlottenlund videregående skole","Yrkesfaglig","648","385","263","642","388","254","602","348","254","565","341","224","440","279","161","363","236","127","349","232","117","385","261","124","460","297","163","488","321","167","519","373","146","533","373","160","537","368","169","513","352","161"
50,"Charlottenlund videregående skole","Bygg- og anleggsteknikk","151","148","3","149","143","6","136","131","5","117","106","11","119","109","10","120","109","11","124","111","13","133","124","9","142","125","17","154","135","19","156","146","10","167","150","17","162","146","16","154","142","12"
50,"Charlottenlund videregående skole","Design og håndverk","132","9","123","120","13","107","100","10","90","90","9","81","91","12","79","112","27","85","96","23","73","119","31","88","63","19","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Charlottenlund videregående skole","Elektro og datateknologi",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Charlottenlund videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47","5","42","64","6","58","58","5","53","56","5","51","54","6","48","71","9","62"
50,"Charlottenlund videregående skole","Helse- og oppvekstfag","2",NA,"2","3",NA,"3",NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Charlottenlund videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","1","8","21","4","17","24","5","19","22","4","18","24","1","23","25","4","21"
