"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Fosen videregående skole","Alle utdanningsprogram","389","182","207","385","191","194","352","175","177","320","166","154","315","155","160","327","170","157","350","200","150","310","161","149","297","153","144","262","122","140","269","138","131","301","172","129","310","180","130","314","184","130"
50,"Fosen videregående skole","Studieforberedende","213","59","154","214","78","136","178","65","113","163","62","101","170","65","105","174","63","111","174","75","99","151","61","90","150","55","95","137","50","87","138","58","80","129","50","79","117","45","72","120","49","71"
50,"Fosen videregående skole","Idrettsfag","40","19","21","33","19","14","35","20","15","39","21","18","51","25","26","58","23","35","56","24","32","45","23","22","45","26","19","50","25","25","49","28","21","42","21","21","32","22","10","26","16","10"
50,"Fosen videregående skole","Musikk, dans og drama","24","10","14","21","8","13","13","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Fosen videregående skole","Påbygging til generell studiekompetanse","25","7","18","29","16","13","18","9","9","28","9","19","32","17","15","22","5","17","28","13","15","23","9","14","27","8","19","15","6","9","19","7","12","19","1","18","19","4","15","22","9","13"
50,"Fosen videregående skole","Studiespesialisering","124","23","101","131","35","96","112","30","82","96","32","64","87","23","64","94","35","59","90","38","52","83","29","54","78","21","57","72","19","53","70","23","47","68","28","40","66","19","47","72","24","48"
50,"Fosen videregående skole","Yrkesfaglig","176","123","53","171","113","58","174","110","64","157","104","53","145","90","55","153","107","46","176","125","51","159","100","59","147","98","49","125","72","53","131","80","51","172","122","50","193","135","58","194","135","59"
50,"Fosen videregående skole","Bygg- og anleggsteknikk","17","17",NA,"14","14",NA,"15","8","7","15","13","2","11","10","1","20","19","1","35","33","2","31","23","8","27","22","5","26","17","9","26","19","7","31","27","4","23","20","3","19","14","5"
50,"Fosen videregående skole","Elektro og datateknologi","65","64","1","70","68","2","76","72","4","70","58","12","63","58","5","55","51","4","53","48","5","49","45","4","48","42","6","38","35","3","42","36","6","73","65","8","93","85","8","110","98","12"
50,"Fosen videregående skole","Helse- og oppvekstfag","22",NA,"22","24",NA,"24","13","1","12","21","2","19","26","1","25","22","3","19","31","6","25","24",NA,"24","27","4","23","25",NA,"25","28",NA,"28","28","1","27","40","2","38","32","3","29"
50,"Fosen videregående skole","Restaurant- og matfag","8","3","5","14","4","10","23","5","18","11","4","7","12","6","6","14","9","5","15","9","6","11","4","7","13","5","8","12","4","8","12","6","6","13","6","7","13","7","6","13","2","11"
50,"Fosen videregående skole","Service og samferdsel","24","6","18","23","4","19","23","6","17","17","4","13","18","5","13","18","7","11","17","8","9","20","6","14","7","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Fosen videregående skole","Teknologi- og industrifag","40","33","7","26","23","3","24","18","6","23","23",NA,"15","10","5","24","18","6","25","21","4","24","22","2","25","23","2","24","16","8","23","19","4","27","23","4","24","21","3","20","18","2"
