"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Gauldal videregående skole","Alle utdanningsprogram","316","154","162","334","174","160","344","173","171","339","174","165","325","177","148","310","167","143","318","180","138","321","173","148","293","169","124","283","150","133","283","149","134","281","150","131","299","159","140","278","135","143"
50,"Gauldal videregående skole","Studieforberedende","142","37","105","149","43","106","153","40","113","150","47","103","140","52","88","130","44","86","131","45","86","112","29","83","102","36","66","113","36","77","113","35","78","106","34","72","107","34","73","107","26","81"
50,"Gauldal videregående skole","Påbygging til generell studiekompetanse","25","7","18","25","10","15","24","6","18","22","6","16","21","7","14","22","5","17","18","8","10","27","9","18","31","11","20","26","5","21","18","2","16","12","4","8","17","4","13","27","4","23"
50,"Gauldal videregående skole","Studiespesialisering","117","30","87","124","33","91","129","34","95","128","41","87","119","45","74","108","39","69","113","37","76","85","20","65","71","25","46","87","31","56","95","33","62","94","30","64","90","30","60","80","22","58"
50,"Gauldal videregående skole","Yrkesfaglig","174","117","57","185","131","54","191","133","58","189","127","62","185","125","60","180","123","57","187","135","52","209","144","65","191","133","58","170","114","56","170","114","56","175","116","59","192","125","67","171","109","62"
50,"Gauldal videregående skole","Bygg- og anleggsteknikk","70","68","2","72","71","1","67","65","2","70","67","3","74","72","2","74","69","5","85","78","7","87","82","5","88","78","10","89","76","13","86","70","16","83","69","14","88","75","13","88","73","15"
50,"Gauldal videregående skole","Design og håndverk","25","14","11","20","10","10","21","10","11","19","11","8","19","8","11","19","9","10","8","8",NA,"8","8",NA,"8","7","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Gauldal videregående skole","Helse- og oppvekstfag","27",NA,"27","26","1","25","36","7","29","35","3","32","36","7","29","33","10","23","33","6","27","38","3","35","40","2","38","36","2","34","36","3","33","47","6","41","50","1","49","44","1","43"
50,"Gauldal videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Gauldal videregående skole","Service og samferdsel","21","5","16","24","7","17","23","9","14","24","13","11","18","6","12","23","9","14","23","9","14","29","15","14","13","8","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Gauldal videregående skole","Teknologi- og industrifag","31","30","1","43","42","1","44","42","2","41","33","8","38","32","6","31","26","5","38","34","4","47","36","11","42","38","4","44","36","8","48","41","7","45","41","4","54","49","5","39","35","4"
